t_ms,vx,vy,vz
222.966,-0.056,0.004,0.170
222.987,-0.063,0.011,0.169
223.009,-0.068,0.020,0.168
223.030,-0.074,0.026,0.167
223.051,-0.075,0.022,0.167
223.134,-0.075,0.016,0.167
223.197,-0.086,0.006,0.166
223.260,-0.090,0.002,0.165
223.343,-0.099,0.003,0.163
223.406,-0.115,0.006,0.161
223.468,-0.142,-0.001,0.156
223.551,-0.156,-0.011,0.152
223.613,-0.160,-0.016,0.152
223.676,-0.165,-0.029,0.149
223.739,-0.162,-0.040,0.149
223.801,-0.163,-0.044,0.148
223.883,-0.161,-0.045,0.148
223.946,-0.161,-0.047,0.147
224.008,-0.156,-0.041,0.148
224.070,-0.150,-0.035,0.149
224.132,-0.139,-0.027,0.151
224.215,-0.131,-0.017,0.153
224.278,-0.129,-0.012,0.152
224.340,-0.129,-0.004,0.153
224.402,-0.132,0.008,0.152
224.485,-0.128,0.014,0.151
224.548,-0.128,0.028,0.151
224.610,-0.125,0.039,0.150
224.673,-0.122,0.044,0.148
224.757,-0.119,0.056,0.146
224.819,-0.117,0.067,0.145
224.881,-0.113,0.075,0.143
224.943,-0.111,0.082,0.142
225.026,-0.107,0.084,0.140
225.088,-0.101,0.086,0.139
225.151,-0.097,0.085,0.140
225.214,-0.092,0.073,0.142
225.297,-0.076,0.062,0.145
225.359,-0.055,0.057,0.134
225.426,-0.036,0.051,0.137
225.509,-0.020,0.045,0.138
225.571,-0.013,0.045,0.137
225.634,0.005,0.047,0.138
225.717,0.010,0.043,0.137
225.780,0.021,0.037,0.129
225.842,0.024,0.036,0.129
225.925,0.032,0.029,0.133
225.988,0.041,0.022,0.135
226.050,0.049,0.016,0.135
226.134,0.051,0.012,0.135
226.196,0.056,0.006,0.134
226.258,0.058,0.002,0.133
226.341,0.053,-0.003,0.133
226.403,0.052,-0.005,0.132
226.486,0.051,-0.009,0.131
226.549,0.053,-0.010,0.131
226.611,0.054,-0.012,0.129
226.694,0.054,-0.014,0.127
226.757,0.058,-0.019,0.126
226.819,0.052,-0.028,0.125
226.901,0.044,-0.035,0.123
226.964,0.042,-0.038,0.121
227.026,0.038,-0.042,0.120
227.109,0.037,-0.043,0.119
227.172,0.041,-0.047,0.117
227.255,0.040,-0.049,0.116
227.317,0.044,-0.059,0.114
227.379,0.047,-0.064,0.112
227.463,0.051,-0.058,0.125
227.525,0.052,-0.060,0.124
