Connecting to /dev/serial/by-id/usb-ArduPilot_Pixhawk6X_49002D001551333034383239-if00 @ 57600...
HEARTBEAT received: 1, 0
t_ms,ch6,alt,roll,pitch,yaw
231,1000,-0.251,-0.3,0.8,-5.1
334,1000,-0.257,-0.3,0.8,-5.1
436,1000,-0.262,-0.3,0.8,-5.1
539,1000,-0.266,-0.3,0.8,-5.1
641,1000,-0.271,-0.3,0.8,-5.1
743,1000,-0.276,-0.3,0.8,-5.1
845,1000,-0.28,-0.3,0.8,-5.1
927,1000,-0.284,-0.3,0.8,-5.1
1029,1000,-0.285,-0.3,0.8,-5.1
1132,1000,-0.286,-0.3,0.8,-5.1
1234,1000,-0.286,-0.3,0.8,-5.1
1336,1000,-0.287,-0.3,0.8,-5.1
1439,1000,-0.29,-0.3,0.8,-5.1
1541,1000,-0.294,-0.3,0.8,-5.1
1643,1000,-0.296,-0.3,0.8,-5.1
1744,1000,-0.296,-0.3,0.8,-5.1
1846,1000,-0.295,-0.3,0.8,-5.1
1927,1000,-0.296,-0.3,0.8,-5.1
2029,1000,-0.297,-0.3,0.8,-5.1
2130,1000,-0.297,-0.3,0.8,-5.1
2232,1000,-0.296,-0.3,0.8,-5.1
2334,1000,-0.296,-0.3,0.8,-5.1
2436,1000,-0.297,-0.3,0.8,-5.1
2539,1000,-0.303,-0.3,0.8,-5.1
2641,1000,-0.307,-0.3,0.8,-5.1
2744,1000,-0.309,-0.3,0.8,-5.1
2826,1000,-0.309,-0.3,0.8,-5.1
2928,1000,-0.307,-0.3,0.8,-5.1
3031,1000,-0.306,-0.3,0.8,-5.1
3133,1000,-0.305,-0.2,0.8,-5.1
3235,1000,-0.303,-0.2,0.8,-5.1
3338,1000,-0.299,-0.2,0.8,-5.1
3440,1000,-0.294,-0.3,0.8,-5.1
3543,1000,-0.29,-0.3,0.8,-5.1
3645,1000,-0.287,-0.3,0.8,-5.1
3727,1000,-0.285,-0.3,0.8,-5.1
3830,1000,-0.286,-0.3,0.8,-5.1
3932,1000,-0.286,-0.3,0.8,-5.1
4035,1000,-0.284,-0.3,0.8,-5.1
4137,1000,-0.282,-0.3,0.8,-5.1
4240,1000,-0.282,-0.3,0.8,-5.1
4342,1000,-0.282,-0.3,0.8,-5.1
4445,1000,-0.281,-0.3,0.8,-5.1
4527,1000,-0.278,-0.3,0.8,-5.1
4629,1000,-0.274,-0.3,0.8,-5.1
4732,1000,-0.27,-0.3,0.8,-5.1
4834,1000,-0.267,-0.3,0.8,-5.1
4937,1000,-0.264,-0.3,0.8,-5.1
5039,1000,-0.262,-0.3,0.8,-5.1
5142,1000,-0.262,-0.3,0.8,-5.1
5244,1000,-0.263,-0.3,0.8,-5.1
5326,1000,-0.264,-0.3,0.8,-5.1
5429,1000,-0.263,-0.3,0.8,-5.1
5531,1000,-0.263,-0.3,0.8,-5.1
5634,1000,-0.264,-0.3,0.8,-5.1
5736,1000,-0.262,-0.3,0.8,-5.1
5839,1000,-0.262,-0.3,0.8,-5.1
5941,1000,-0.261,-0.3,0.8,-5.1
6024,1000,-0.258,-0.3,0.8,-5.1
6126,1000,-0.255,-0.3,0.8,-5.1
6228,1000,-0.255,-0.3,0.8,-5.1
6331,1000,-0.255,-0.3,0.8,-5.2
6433,1000,-0.255,-0.3,0.8,-5.2
6541,1000,-0.255,-0.3,0.8,-5.2
6643,1000,-0.255,-0.3,0.8,-5.2
6726,1000,-0.255,-0.3,0.8,-5.2
6828,1000,-0.255,-0.2,0.8,-5.2
6930,1000,-0.257,-0.2,0.8,-5.2
7033,1000,-0.259,-0.2,0.8,-5.2
7136,1000,-0.259,-0.2,0.8,-5.2
7238,1000,-0.256,-0.2,0.8,-5.2
7341,1000,-0.252,-0.3,0.8,-5.2
7443,1000,-0.251,-0.2,0.8,-5.2
7525,1000,-0.252,-0.3,0.8,-5.2
7627,1000,-0.252,-0.3,0.8,-5.2
7730,1000,-0.252,-0.3,0.8,-5.2
7832,1000,-0.25,-0.3,0.8,-5.2
7935,1000,-0.25,-0.3,0.8,-5.2
8037,1000,-0.251,-0.3,0.8,-5.2
8140,1000,-0.253,-0.3,0.8,-5.2
8222,1000,-0.258,-0.3,0.8,-5.2
8325,1000,-0.267,-0.3,0.8,-5.2
8427,1000,-0.274,-0.3,0.8,-5.2
8530,1000,-0.279,-0.3,0.8,-5.2
8632,1000,-0.282,-0.3,0.8,-5.2
8734,1000,-0.283,-0.2,0.8,-5.2
8836,1000,-0.285,-0.2,0.8,-5.2
8939,1000,-0.286,-0.2,0.8,-5.2
9041,1000,-0.287,-0.3,0.8,-5.2
9123,1000,-0.288,-0.3,0.8,-5.2
9225,1000,-0.288,-0.3,0.8,-5.2
9327,1000,-0.285,-0.3,0.8,-5.2
9430,1000,-0.28,-0.3,0.8,-5.2
9532,1000,-0.278,-0.3,0.8,-5.2
9634,1000,-0.276,-0.3,0.8,-5.2
9737,1000,-0.273,-0.3,0.8,-5.2
9839,1000,-0.271,-0.3,0.8,-5.2
9921,1000,-0.272,-0.3,0.8,-5.2
10024,1000,-0.274,-0.3,0.8,-5.2
10126,1000,-0.276,-0.3,0.8,-5.3
10228,1000,-0.278,-0.3,0.8,-5.3
10333,1000,-0.281,-0.3,0.8,-5.3
10436,1000,-0.283,-0.3,0.8,-5.3
10538,1000,-0.285,-0.3,0.8,-5.3
10640,1000,-0.288,-0.3,0.8,-5.3
10723,1000,-0.289,-0.3,0.8,-5.3
10825,1000,-0.292,-0.3,0.8,-5.3
10927,1000,-0.296,-0.3,0.8,-5.3
11030,1000,-0.3,-0.3,0.8,-5.3
11133,1000,-0.304,-0.3,0.8,-5.3
11235,1000,-0.31,-0.3,0.8,-5.3
11337,1000,-0.315,-0.3,0.8,-5.3
11439,1000,-0.32,-0.3,0.8,-5.3
11522,1000,-0.326,-0.3,0.8,-5.3
11624,1000,-0.331,-0.3,0.8,-5.3
11728,1000,-0.334,-0.3,0.8,-5.3
11830,1000,-0.336,-0.3,0.8,-5.3
11932,1000,-0.338,-0.3,0.8,-5.3
12035,1000,-0.34,-0.3,0.8,-5.3
12137,1000,-0.341,-0.3,0.8,-5.3
12238,1000,-0.342,-0.3,0.8,-5.3
12320,1000,-0.344,-0.3,0.8,-5.3
12422,1000,-0.346,-0.3,0.8,-5.3
12525,1000,-0.347,-0.3,0.8,-5.3
12628,1000,-0.349,-0.3,0.8,-5.3
12730,1000,-0.349,-0.3,0.8,-5.3
12832,1000,-0.349,-0.3,0.8,-5.3
12934,1000,-0.348,-0.3,0.8,-5.3
13036,1000,-0.347,-0.3,0.8,-5.3
13138,1000,-0.347,-0.3,0.8,-5.3
13220,1000,-0.351,-0.3,0.8,-5.3
13322,1000,-0.355,-0.3,0.8,-5.3
13424,1000,-0.361,-0.3,0.8,-5.3
13527,1000,-0.367,-0.3,0.8,-5.3
13629,1000,-0.371,-0.3,0.8,-5.3
13731,1000,-0.374,-0.3,0.8,-5.3
13833,1000,-0.377,-0.3,0.8,-5.3
13935,1000,-0.377,-0.3,0.8,-5.3
14037,1000,-0.375,-0.3,0.8,-5.3
14138,1000,-0.375,-0.3,0.8,-5.3
14220,1000,-0.376,-0.3,0.8,-5.3
14321,1000,-0.375,-0.3,0.8,-5.3
14423,1000,-0.375,-0.3,0.8,-5.3
14525,1000,-0.375,-0.3,0.8,-5.3
14627,1000,-0.376,-0.3,0.8,-5.3
14728,1000,-0.375,-0.3,0.8,-5.3
14830,1000,-0.372,-0.3,0.8,-5.3
14932,1000,-0.37,-0.3,0.8,-5.3
15034,1000,-0.369,-0.3,0.8,-5.3
15137,1000,-0.37,-0.3,0.8,-5.3
15219,1000,-0.373,-0.3,0.8,-5.3
15321,1000,-0.375,-0.3,0.8,-5.3
15423,1000,-0.376,-0.3,0.8,-5.3
15525,1000,-0.379,-0.3,0.8,-5.3
15627,1000,-0.382,-0.3,0.8,-5.3
15729,1000,-0.386,-0.3,0.8,-5.3
15830,1000,-0.39,-0.3,0.8,-5.3
Setting mode GUIDED...
Mode = GUIDED
15936,1000,-0.394,-0.3,0.8,-5.3
16018,1000,-0.396,-0.3,0.8,-5.4
16119,1000,-0.4,-0.3,0.8,-5.4
16221,1000,-0.404,-0.3,0.8,-5.4
16323,1000,-0.409,-0.3,0.8,-5.4
16425,1000,-0.412,-0.3,0.8,-5.4
16526,1000,-0.414,-0.3,0.8,-5.4
16628,1000,-0.417,-0.3,0.8,-5.4
16729,1000,-0.417,-0.3,0.8,-5.4
16831,1000,-0.414,-0.3,0.8,-5.4
16932,1000,-0.413,-0.3,0.8,-5.4
17034,1000,-0.411,-0.3,0.8,-5.4
17135,1000,-0.41,-0.3,0.8,-5.4
17237,1000,-0.413,-0.3,0.8,-5.4
17318,1000,-0.418,-0.3,0.8,-5.4
17419,1000,-0.421,-0.3,0.8,-5.4
17521,1000,-0.423,-0.3,0.8,-5.4
17622,1000,-0.425,-0.3,0.8,-5.4
17724,1000,-0.427,-0.3,0.8,-5.4
17825,1000,-0.424,-0.3,0.8,-5.4
17927,1000,-0.418,-0.3,0.8,-5.4
18029,1000,-0.412,-0.3,0.8,-5.4
18130,1000,-0.409,-0.3,0.8,-5.4
18232,1000,-0.407,-0.3,0.8,-5.4
18333,1000,-0.406,-0.3,0.8,-5.4
18435,1000,-0.405,-0.3,0.8,-5.4
18516,1000,-0.401,-0.3,0.8,-5.4
18618,1000,-0.398,-0.3,0.8,-5.4
18719,1000,-0.396,-0.3,0.8,-5.4
18821,1000,-0.394,-0.3,0.8,-5.4
18922,1000,-0.391,-0.3,0.8,-5.4
19024,1000,-0.388,-0.3,0.8,-5.4
19125,1000,-0.386,-0.3,0.8,-5.4
19227,1000,-0.382,-0.3,0.8,-5.4
19328,1000,-0.38,-0.3,0.8,-5.4
19429,1000,-0.378,-0.3,0.8,-5.4
19531,1000,-0.375,-0.3,0.8,-5.4
19633,1000,-0.374,-0.3,0.8,-5.4
19734,1000,-0.375,-0.3,0.8,-5.4
19815,1000,-0.376,-0.3,0.8,-5.4
19917,1000,-0.378,-0.3,0.8,-5.4
20018,1000,-0.379,-0.3,0.8,-5.4
20120,1000,-0.376,-0.3,0.8,-5.4
20221,1000,-0.371,-0.3,0.8,-5.4
20323,1000,-0.367,-0.3,0.8,-5.4
20424,1000,-0.366,-0.3,0.8,-5.4
20526,1000,-0.37,-0.3,0.8,-5.4
20627,1000,-0.374,-0.3,0.8,-5.4
20729,1000,-0.374,-0.3,0.8,-5.4
20830,1000,-0.372,-0.3,0.8,-5.4
20931,1000,-0.369,-0.3,0.8,-5.4
21033,1000,-0.365,-0.3,0.8,-5.4
21135,1000,-0.363,-0.3,0.8,-5.4
21216,1000,-0.362,-0.3,0.8,-5.4
21317,1000,-0.36,-0.3,0.8,-5.4
21419,1000,-0.359,-0.3,0.8,-5.4
21520,1000,-0.359,-0.3,0.8,-5.4
21622,1000,-0.36,-0.3,0.8,-5.4
21723,1000,-0.364,-0.3,0.8,-5.3
21824,1000,-0.365,-0.3,0.8,-5.3
21926,1000,-0.364,-0.3,0.8,-5.3
22027,1000,-0.363,-0.3,0.8,-5.3
22129,1000,-0.361,-0.3,0.8,-5.3
22231,1000,-0.357,-0.3,0.8,-5.3
22332,1000,-0.353,-0.3,0.8,-5.3
22434,1000,-0.353,-0.3,0.8,-5.3
22515,1000,-0.352,-0.3,0.8,-5.3
22617,1000,-0.348,-0.3,0.8,-5.3
22718,1000,-0.345,-0.3,0.8,-5.3
22820,1000,-0.341,-0.3,0.8,-5.3
22921,1000,-0.336,-0.3,0.8,-5.3
23023,1000,-0.331,-0.3,0.8,-5.3
23124,1000,-0.325,-0.3,0.8,-5.3
23226,1000,-0.32,-0.3,0.8,-5.3
23328,1000,-0.316,-0.3,0.8,-5.3
23429,1000,-0.314,-0.3,0.8,-5.3
23531,1000,-0.316,-0.3,0.8,-5.3
23632,1000,-0.319,-0.3,0.8,-5.3
23734,1000,-0.317,-0.3,0.8,-5.3
23835,1000,-0.314,-0.3,0.8,-5.3
23917,1000,-0.313,-0.3,0.8,-5.3
24018,1000,-0.314,-0.3,0.8,-5.3
24120,1000,-0.315,-0.3,0.8,-5.3
24222,1000,-0.315,-0.3,0.8,-5.3
24323,1000,-0.312,-0.3,0.8,-5.3
24425,1000,-0.311,-0.3,0.8,-5.3
24526,1000,-0.311,-0.3,0.8,-5.3
24628,1000,-0.312,-0.3,0.8,-5.3
24729,1000,-0.31,-0.3,0.8,-5.3
24831,1000,-0.309,-0.3,0.8,-5.3
24933,1000,-0.308,-0.3,0.8,-5.3
25034,1000,-0.307,-0.3,0.8,-5.3
25136,1000,-0.307,-0.3,0.8,-5.3
25238,1000,-0.304,-0.3,0.8,-5.3
25319,1000,-0.303,-0.3,0.8,-5.3
25420,1000,-0.305,-0.2,0.8,-5.3
25522,1000,-0.306,-0.2,0.8,-5.3
25624,1000,-0.306,-0.2,0.8,-5.3
25725,1000,-0.307,-0.2,0.8,-5.3
25827,1000,-0.306,-0.2,0.8,-5.3
25929,1000,-0.306,-0.2,0.8,-5.3
26031,1000,-0.309,-0.2,0.8,-5.3
26133,1000,-0.314,-0.2,0.8,-5.3
26234,1000,-0.316,-0.2,0.8,-5.3
26336,1000,-0.319,-0.2,0.8,-5.3
26437,1000,-0.324,-0.2,0.8,-5.3
26539,1000,-0.331,-0.2,0.8,-5.3
26621,1000,-0.337,-0.2,0.8,-5.3
26722,1000,-0.343,-0.2,0.8,-5.3
26824,1000,-0.35,-0.2,0.8,-5.3
26925,1000,-0.358,-0.2,0.8,-5.3
27027,1000,-0.365,-0.2,0.8,-5.3
27128,1000,-0.37,-0.2,0.8,-5.3
27230,1000,-0.375,-0.2,0.8,-5.3
27331,1000,-0.376,-0.2,0.8,-5.3
27433,1000,-0.376,-0.2,0.8,-5.3
27534,1000,-0.376,-0.2,0.8,-5.3
27636,1000,-0.375,-0.2,0.8,-5.3
27737,1000,-0.375,-0.2,0.8,-5.3
27839,1000,-0.375,-0.2,0.8,-5.3
27940,1000,-0.374,-0.2,0.8,-5.3
28022,1000,-0.374,-0.2,0.8,-5.3
28123,1000,-0.376,-0.2,0.8,-5.3
28225,1000,-0.378,-0.2,0.8,-5.3
28327,1000,-0.38,-0.2,0.8,-5.3
28429,1000,-0.382,-0.2,0.8,-5.3
28530,1000,-0.387,-0.2,0.8,-5.3
28632,1000,-0.393,-0.2,0.8,-5.3
28734,1000,-0.4,-0.2,0.8,-5.3
28835,1000,-0.406,-0.2,0.8,-5.3
28937,1000,-0.409,-0.2,0.8,-5.3
29039,1000,-0.41,-0.2,0.8,-5.3
29141,1000,-0.411,-0.2,0.8,-5.3
29242,1000,-0.409,-0.2,0.8,-5.3
29324,1000,-0.407,-0.2,0.8,-5.3
29425,1000,-0.406,-0.2,0.8,-5.3
29527,1000,-0.408,-0.2,0.8,-5.3
29629,1000,-0.411,-0.2,0.8,-5.3
29730,1000,-0.413,-0.2,0.8,-5.3
29832,1000,-0.416,-0.2,0.8,-5.3
29933,1000,-0.418,-0.2,0.8,-5.3
30035,1000,-0.418,-0.2,0.8,-5.3
30137,1000,-0.415,-0.2,0.8,-5.3
30238,1000,-0.412,-0.2,0.8,-5.3
30340,1000,-0.408,-0.2,0.8,-5.3
30441,1000,-0.403,-0.2,0.8,-5.3
30544,1000,-0.397,-0.2,0.8,-5.3
30625,1000,-0.392,-0.2,0.8,-5.3
30726,1000,-0.389,-0.2,0.8,-5.3
30828,1000,-0.384,-0.2,0.8,-5.3
30930,1000,-0.378,-0.2,0.8,-5.3
31031,1000,-0.371,-0.2,0.8,-5.3
31133,1000,-0.363,-0.2,0.8,-5.3
31234,1000,-0.356,-0.2,0.8,-5.3
31336,1000,-0.35,-0.2,0.8,-5.3
31437,1000,-0.345,-0.2,0.8,-5.3
31539,1000,-0.338,-0.2,0.8,-5.3
31641,1000,-0.329,-0.2,0.8,-5.3
31742,1000,-0.32,-0.2,0.8,-5.3
31843,1000,-0.311,-0.2,0.8,-5.3
31945,1000,-0.304,-0.2,0.8,-5.3
32027,1000,-0.297,-0.2,0.8,-5.3
32128,1000,-0.292,-0.2,0.8,-5.3
32230,1000,-0.289,-0.2,0.8,-5.3
32331,1000,-0.287,-0.2,0.8,-5.3
32433,1000,-0.283,-0.2,0.8,-5.3
32535,1000,-0.28,-0.2,0.8,-5.3
32636,1000,-0.278,-0.2,0.8,-5.3
32738,1000,-0.278,-0.2,0.8,-5.3
32840,1000,-0.278,-0.2,0.8,-5.3
32941,1000,-0.275,-0.2,0.8,-5.3
33043,1000,-0.271,-0.3,0.8,-5.3
33145,1000,-0.269,-0.3,0.8,-5.3
33246,1000,-0.266,-0.3,0.8,-5.3
33328,1000,-0.261,-0.3,0.8,-5.3
33429,1000,-0.253,-0.3,0.8,-5.3
33531,1000,-0.249,-0.3,0.8,-5.3
33632,1000,-0.246,-0.3,0.8,-5.3
33734,1000,-0.242,-0.3,0.8,-5.3
33835,1000,-0.239,-0.3,0.8,-5.3
33937,1000,-0.238,-0.3,0.8,-5.3
34039,2000,-0.233,-0.2,0.8,-5.3
Arming motors...
Armed
Takeoff to 2.5 m...
