t_ms,vx,vy,vz
2079.227,-0.011,0.080,0.138
2079.248,-0.012,0.075,0.139
2079.269,-0.025,0.083,0.159
2079.290,-0.023,0.077,0.160
2079.312,-0.021,0.069,0.161
2079.354,-0.012,0.058,0.142
2079.437,-0.020,0.054,0.142
2079.500,-0.027,0.049,0.141
2079.584,-0.042,0.041,0.140
2079.647,-0.059,0.027,0.139
2079.730,-0.080,0.007,0.137
2079.793,-0.084,-0.005,0.136
2079.854,-0.076,-0.021,0.136
2079.937,-0.063,-0.034,0.137
2080.000,-0.038,-0.045,0.138
2080.083,-0.008,-0.051,0.140
2080.145,0.002,-0.056,0.139
2080.208,0.024,-0.059,0.139
2080.291,0.045,-0.064,0.139
2080.353,0.069,-0.066,0.138
2080.436,0.109,-0.074,0.155
2080.499,0.130,-0.073,0.154
2080.581,0.165,-0.070,0.151
2080.644,0.197,-0.066,0.147
2080.706,0.231,-0.065,0.142
2080.790,0.252,-0.066,0.138
2080.852,0.263,-0.062,0.117
2080.935,0.288,-0.063,0.110
2080.997,0.319,-0.063,0.103
2081.059,0.374,-0.068,0.109
2081.143,0.349,-0.059,0.093
2081.205,0.404,-0.063,0.099
2081.288,0.422,-0.060,0.094
2081.350,0.433,-0.057,0.091
2081.434,0.396,-0.048,0.078
2081.496,0.410,-0.046,0.074
2081.579,0.473,-0.050,0.078
2081.641,0.438,-0.044,0.064
2081.724,0.443,-0.043,0.061
2081.787,0.445,-0.042,0.060
2081.849,0.444,-0.043,0.059
2081.933,0.438,-0.041,0.061
2082.016,0.500,-0.045,0.067
2082.078,0.514,-0.046,0.063
2082.141,0.515,-0.046,0.062
2082.224,0.516,-0.035,0.062
2082.286,0.520,-0.017,0.062
2082.369,0.458,0.001,0.057
2082.432,0.512,0.018,0.064
2082.515,0.458,0.024,0.055
2082.577,0.468,0.033,0.052
2082.639,0.535,0.049,0.054
2082.722,0.487,0.052,0.044
2082.785,0.491,0.058,0.042
2082.847,0.548,0.070,0.048
2082.930,0.483,0.069,0.042
2082.992,0.476,0.080,0.043
2083.075,0.481,0.092,0.039
2083.137,0.480,0.090,0.038
2083.220,0.467,0.085,0.042
2083.282,0.465,0.084,0.043
2083.365,0.461,0.083,0.044
2083.428,0.441,0.073,0.051
2083.511,0.431,0.063,0.055
2083.573,0.421,0.050,0.059
2083.636,0.401,0.045,0.065
2083.719,0.380,0.042,0.071
2083.781,0.367,0.040,0.074
2083.843,0.361,0.040,0.076
2083.927,0.398,0.042,0.089
2083.989,0.396,0.043,0.089
2084.051,0.346,0.039,0.079
2084.135,0.342,0.039,0.079
2084.197,0.340,0.041,0.080
2084.259,0.333,0.045,0.080
2084.342,0.327,0.053,0.080
2084.404,0.323,0.056,0.081
2084.467,0.352,0.074,0.094
2084.530,0.300,0.070,0.083
2084.592,0.293,0.074,0.084
2084.675,0.285,0.078,0.084
2084.737,0.309,0.092,0.099
2084.800,0.304,0.094,0.099
2084.883,0.292,0.093,0.101
2084.945,0.253,0.082,0.088
2085.008,0.241,0.082,0.090
2085.070,0.236,0.081,0.091
2085.153,0.208,0.070,0.106
2085.216,0.204,0.071,0.105
2085.278,0.203,0.072,0.105
