Connecting to /dev/serial/by-id/usb-ArduPilot_Pixhawk6X_49002D001551333034383239-if00 @ 57600...
HEARTBEAT received: 1, 0
t_ms,ch6,alt,lat,lon,roll,pitch,yaw
226,1000,4.169,21.0478823,105.785506,-0.0,1.7,-19.5
328,1000,4.169,21.0478823,105.785506,-0.0,1.7,-19.5
430,1000,4.17,21.0478822,105.785506,-0.0,1.7,-19.5
533,1000,4.171,21.0478822,105.785506,-0.0,1.7,-19.5
635,1000,4.172,21.0478822,105.785506,-0.0,1.7,-19.5
737,1000,4.174,21.0478822,105.785506,-0.0,1.7,-19.5
840,1000,4.178,21.0478822,105.785506,-0.0,1.7,-19.5
942,1000,4.184,21.0478822,105.785506,-0.0,1.7,-19.5
1045,1000,4.19,21.0478822,105.785506,-0.0,1.7,-19.5
1127,1000,4.195,21.0478822,105.785506,-0.0,1.7,-19.5
1230,1000,4.197,21.0478822,105.785506,-0.0,1.7,-19.5
1332,1000,4.2,21.0478822,105.785506,-0.0,1.7,-19.5
1434,1000,4.207,21.0478822,105.785506,-0.0,1.7,-19.5
1537,1000,4.211,21.0478822,105.7855059,-0.0,1.7,-19.5
1639,1000,4.215,21.0478822,105.7855059,-0.0,1.7,-19.5
1742,1000,4.218,21.0478822,105.7855059,-0.0,1.7,-19.5
1844,1000,4.22,21.0478823,105.7855059,-0.0,1.7,-19.5
1926,1000,4.221,21.0478823,105.7855059,-0.0,1.7,-19.5
2028,1000,4.221,21.0478823,105.7855059,-0.0,1.7,-19.5
2131,1000,4.225,21.0478823,105.7855059,-0.0,1.7,-19.5
2233,1000,4.232,21.0478823,105.7855058,-0.0,1.7,-19.5
2334,1000,4.236,21.0478823,105.7855058,-0.0,1.7,-19.5
2436,1000,4.241,21.0478823,105.7855058,-0.0,1.7,-19.5
2537,1000,4.249,21.0478823,105.7855058,-0.0,1.7,-19.5
2639,1000,4.255,21.0478823,105.7855058,-0.0,1.7,-19.5
2740,1000,4.26,21.0478823,105.7855058,-0.0,1.7,-19.5
2842,1000,4.263,21.0478823,105.7855058,-0.0,1.7,-19.5
2944,1000,4.264,21.0478823,105.7855058,-0.0,1.7,-19.5
3026,1000,4.259,21.0478822,105.7855058,-0.0,1.7,-19.5
3128,1000,4.253,21.0478822,105.7855058,-0.0,1.7,-19.5
3231,1000,4.247,21.0478822,105.7855058,-0.0,1.7,-19.5
3333,1000,4.246,21.0478822,105.7855058,-0.0,1.7,-19.5
3435,1000,4.247,21.0478822,105.7855058,-0.0,1.7,-19.5
3538,1000,4.247,21.0478822,105.7855058,-0.0,1.7,-19.5
3640,1000,4.244,21.0478822,105.7855059,-0.0,1.7,-19.5
3743,1000,4.241,21.0478822,105.7855059,-0.0,1.7,-19.5
3825,1000,4.241,21.0478822,105.7855059,-0.0,1.7,-19.5
3927,1000,4.241,21.0478822,105.7855059,-0.0,1.7,-19.5
4030,1000,4.243,21.0478822,105.7855059,-0.0,1.7,-19.5
4132,1000,4.244,21.0478822,105.7855059,-0.0,1.7,-19.5
4235,1000,4.242,21.0478822,105.785506,-0.0,1.7,-19.5
4338,1000,4.241,21.0478822,105.785506,-0.0,1.7,-19.5
4440,1000,4.239,21.0478822,105.7855061,-0.0,1.7,-19.5
4542,1000,4.24,21.0478822,105.7855061,-0.0,1.7,-19.5
4644,1000,4.241,21.0478822,105.7855061,-0.0,1.7,-19.5
4726,1000,4.242,21.0478822,105.7855061,-0.0,1.7,-19.5
4829,1000,4.243,21.0478822,105.7855061,-0.0,1.7,-19.5
4931,1000,4.245,21.0478822,105.7855061,-0.0,1.7,-19.5
5034,1000,4.25,21.0478822,105.7855061,-0.0,1.7,-19.5
5136,1000,4.253,21.0478822,105.7855061,-0.0,1.7,-19.5
5238,1000,4.258,21.0478822,105.7855061,-0.0,1.7,-19.5
5341,1000,4.263,21.0478822,105.7855061,-0.0,1.7,-19.5
5443,1000,4.27,21.0478822,105.7855061,-0.0,1.7,-19.5
5546,1000,4.277,21.0478822,105.7855061,-0.0,1.7,-19.5
5628,1000,4.285,21.0478822,105.7855061,-0.0,1.7,-19.5
5730,1000,4.29,21.0478822,105.7855061,-0.0,1.7,-19.5
5833,1000,4.296,21.0478822,105.7855061,-0.0,1.7,-19.5
5935,1000,4.299,21.0478822,105.7855061,-0.0,1.7,-19.5
6037,1000,4.304,21.0478822,105.7855061,-0.0,1.7,-19.5
6140,1000,4.306,21.0478822,105.7855061,-0.1,1.7,-19.5
6242,1000,4.305,21.0478822,105.7855061,-0.1,1.7,-19.5
6344,1000,4.303,21.0478822,105.785506,-0.1,1.7,-19.5
6426,1000,4.3,21.0478822,105.785506,-0.1,1.7,-19.5
6528,1000,4.295,21.0478822,105.785506,-0.1,1.7,-19.5
6631,1000,4.293,21.0478822,105.7855059,-0.1,1.7,-19.5
6733,1000,4.29,21.0478822,105.7855059,-0.1,1.7,-19.5
6835,1000,4.289,21.0478822,105.7855058,-0.1,1.7,-19.5
6938,1000,4.289,21.0478822,105.7855058,-0.1,1.7,-19.5
7041,1000,4.29,21.0478822,105.7855057,-0.1,1.7,-19.5
7144,1000,4.289,21.0478822,105.7855057,-0.1,1.7,-19.5
7226,1000,4.289,21.0478822,105.7855057,-0.1,1.7,-19.5
7329,1000,4.289,21.0478822,105.7855057,-0.1,1.7,-19.5
7431,1000,4.291,21.0478822,105.7855057,-0.1,1.7,-19.5
7533,1000,4.294,21.0478822,105.7855057,-0.1,1.7,-19.6
7635,1000,4.298,21.0478822,105.7855057,-0.1,1.7,-19.6
7737,1000,4.302,21.0478822,105.7855057,-0.1,1.7,-19.6
7839,1000,4.305,21.0478822,105.7855057,-0.1,1.7,-19.6
7942,1000,4.308,21.0478822,105.7855057,-0.1,1.7,-19.6
