t_ms,vx,vy,vz
2102.142,0.000,0.000,0.000
2102.163,0.000,0.000,0.000
2102.184,0.000,0.000,0.000
2102.206,-0.027,-0.066,0.161
2102.227,-0.082,-0.077,0.153
2102.248,-0.142,-0.095,0.144
2102.270,-0.241,-0.143,0.113
2102.291,-0.281,-0.174,0.095
2102.313,0.000,0.000,0.000
2102.334,0.000,0.000,0.000
2102.355,0.000,0.000,0.000
2102.377,0.408,0.142,0.114
2102.398,0.546,0.010,0.096
2102.419,0.000,0.000,0.000
2102.440,-0.378,-0.112,0.090
2102.462,-0.382,-0.046,0.098
2102.483,-0.386,-0.014,0.100
2102.504,0.000,0.000,0.000
2102.526,0.000,0.000,0.000
2102.547,0.000,0.000,0.000
2102.568,0.000,0.000,0.000
2102.590,0.000,0.000,0.000
2102.611,-0.382,0.307,0.036
2102.633,0.000,0.000,0.000
2102.654,-0.347,0.392,0.015
2102.675,-0.339,0.419,0.010
2102.697,-0.333,0.441,0.006
2102.718,-0.325,0.478,0.001
2102.739,0.000,0.000,0.000
2102.761,0.000,0.000,0.000
2102.782,0.000,0.000,0.000
2102.803,0.000,0.000,0.000
2102.825,0.000,0.000,0.000
2102.846,0.000,0.000,0.000
2102.867,0.000,0.000,0.000
2102.889,0.000,0.000,0.000
2102.910,0.000,0.000,0.000
2102.931,0.000,0.000,0.000
2102.953,0.000,0.000,0.000
2102.974,0.000,0.000,0.000
2102.995,0.000,0.000,0.000
2103.016,0.000,0.000,0.000
2103.038,0.000,0.000,0.000
2103.059,0.000,0.000,0.000
2103.080,0.000,0.000,0.000
2103.102,0.000,0.000,0.000
2103.123,0.000,0.000,0.000
2103.144,0.000,0.000,0.000
2103.165,0.000,0.000,0.000
2103.187,0.000,0.000,0.000
2103.208,0.000,0.000,0.000
2103.229,0.000,0.000,0.000
2103.251,0.000,0.000,0.000
2103.272,0.000,0.000,0.000
2103.293,0.000,0.000,0.000
2103.314,0.000,0.000,0.000
2103.336,0.000,0.000,0.000
2103.357,0.000,0.000,0.000
2103.378,0.000,0.000,0.000
2103.400,0.000,0.000,0.000
2103.421,0.000,0.000,0.000
2103.442,0.000,0.000,0.000
2103.464,0.000,0.000,0.000
2103.485,0.000,0.000,0.000
2103.507,0.000,0.000,0.000
2103.528,0.000,0.000,0.000
2103.549,0.000,0.000,0.000
2103.571,0.000,0.000,0.000
2103.592,0.000,0.000,0.000
