t_ms,vx,vy,vz
1209.968,0.000,0.000,0.000
1209.989,0.000,0.000,0.000
1210.011,0.000,0.000,0.000
1210.032,0.000,0.000,0.000
1210.053,0.000,0.000,0.000
1210.075,0.000,0.000,0.000
1210.096,0.000,0.000,0.000
1210.118,0.000,0.000,0.000
1210.139,0.000,0.000,0.000
1210.161,0.000,0.000,0.000
1210.182,0.000,0.000,0.000
1210.204,0.000,0.000,0.000
1210.225,0.000,0.000,0.000
1210.246,0.000,0.000,0.000
1210.267,0.000,0.000,0.000
1210.289,0.000,0.000,0.000
1210.310,0.000,0.000,0.000
1210.331,0.000,0.000,0.000
1210.353,0.000,0.000,0.000
1210.374,0.000,0.000,0.000
1210.395,0.000,0.000,0.000
1210.417,0.000,0.000,0.000
1210.438,0.000,0.000,0.000
1210.459,0.000,0.000,0.000
1210.480,0.000,0.000,0.000
1210.502,0.000,0.000,0.000
1210.523,0.000,0.000,0.000
1210.544,-0.048,0.096,0.165
1210.566,0.000,0.000,0.000
1210.587,-0.057,0.065,0.169
1210.608,0.000,0.000,0.000
1210.630,0.000,0.000,0.000
1210.672,0.000,0.000,0.000
1210.734,0.000,0.000,0.000
1210.797,0.000,0.000,0.000
1210.860,0.000,0.000,0.000
1210.923,0.000,0.000,0.000
1210.965,0.000,0.000,0.000
1211.028,0.000,0.000,0.000
1211.090,0.000,0.000,0.000
1211.153,0.000,0.000,0.000
1211.195,0.000,0.000,0.000
1211.258,0.000,0.000,0.000
1211.321,0.000,0.000,0.000
1211.384,0.000,0.000,0.000
1211.447,0.000,0.000,0.000
1211.489,0.000,0.000,0.000
1211.552,0.000,0.000,0.000
1211.615,0.000,0.000,0.000
1211.677,0.000,0.000,0.000
1211.740,0.000,0.000,0.000
1211.803,0.000,0.000,0.000
1211.865,0.090,0.044,0.176
1211.907,0.000,0.000,0.000
1211.970,0.000,0.000,0.000
1212.033,0.000,0.000,0.000
1212.096,0.000,0.000,0.000
1212.159,0.000,0.000,0.000
1212.201,0.000,0.000,0.000
1212.263,0.000,0.000,0.000
1212.326,0.000,0.000,0.000
1212.389,0.000,0.000,0.000
1212.431,0.000,0.000,0.000
1212.493,0.000,0.000,0.000
1212.556,0.000,0.000,0.000
1212.618,0.000,0.000,0.000
1212.681,0.000,0.000,0.000
1212.724,0.000,0.000,0.000
1212.786,0.000,0.000,0.000
1212.849,0.000,0.000,0.000
1212.912,0.000,0.000,0.000
1212.975,0.000,0.000,0.000
1213.038,0.000,0.000,0.000
1213.079,0.000,0.000,0.000
1213.142,0.000,0.000,0.000
1213.205,0.000,0.000,0.000
1213.267,0.000,0.000,0.000
1213.330,0.000,0.000,0.000
1213.372,0.000,0.000,0.000
1213.435,0.000,0.000,0.000
1213.499,0.000,0.000,0.000
1213.561,0.000,0.000,0.000
1213.624,0.000,0.000,0.000
1213.687,0.000,0.000,0.000
1213.730,0.000,0.000,0.000
1213.793,0.026,0.132,0.152
1213.855,0.037,0.134,0.151
1213.918,0.039,0.135,0.151
1213.980,0.046,0.141,0.149
1214.043,0.000,0.000,0.000
1214.105,0.058,0.156,0.145
1214.168,0.000,0.000,0.000
1214.231,0.082,0.185,0.134
1214.293,0.088,0.195,0.129
1214.376,0.107,0.203,0.125
1214.438,0.108,0.203,0.125
1214.501,0.115,0.205,0.122
1214.564,0.118,0.210,0.119
1214.626,0.122,0.220,0.114
1214.688,0.134,0.243,0.101
1214.751,0.136,0.260,0.092
1214.813,0.147,0.283,0.080
1214.875,0.149,0.296,0.072
1214.938,0.145,0.300,0.070
1215.000,0.142,0.315,0.062
1215.063,0.136,0.325,0.056
1215.126,0.137,0.330,0.054
1215.209,0.137,0.342,0.048
1215.272,0.141,0.345,0.045
1215.334,0.142,0.351,0.042
1215.396,0.142,0.353,0.041
1215.459,0.137,0.358,0.039
1215.521,0.133,0.356,0.040
1215.584,0.131,0.355,0.040
1215.647,0.130,0.359,0.038
1215.709,0.133,0.361,0.038
1215.772,0.143,0.353,0.041
1215.834,0.152,0.343,0.046
1215.897,0.156,0.339,0.048
1215.960,0.169,0.324,0.055
1216.022,0.171,0.318,0.058
1216.084,0.180,0.298,0.067
1216.147,0.197,0.277,0.076
1216.210,0.204,0.268,0.080
1216.293,0.221,0.249,0.087
1216.334,0.230,0.238,0.091
1216.397,0.234,0.219,0.098
1216.480,0.234,0.202,0.105
1216.542,0.236,0.190,0.110
1216.605,0.247,0.171,0.116
1216.668,0.243,0.160,0.120
1216.730,0.242,0.140,0.127
1216.793,0.243,0.126,0.131
1216.856,0.246,0.119,0.133
1216.918,0.248,0.107,0.136
1216.981,0.245,0.101,0.138
1217.043,0.242,0.090,0.141
1217.106,0.243,0.079,0.143
1217.169,0.245,0.072,0.144
1217.231,0.253,0.063,0.144
1217.293,0.255,0.064,0.144
1217.356,0.256,0.067,0.142
1217.418,0.254,0.070,0.142
1217.480,0.251,0.071,0.142
1217.563,0.247,0.071,0.141
1217.626,0.246,0.068,0.142
1217.688,0.243,0.061,0.142
1217.751,0.241,0.054,0.143
1217.813,0.234,0.042,0.134
1217.876,0.233,0.033,0.134
1217.938,0.237,0.030,0.134
1218.000,0.239,0.023,0.133
1218.083,0.238,0.021,0.132
1218.146,0.249,0.018,0.129
1218.208,0.255,0.013,0.128
1218.271,0.260,0.007,0.125
1218.333,0.266,0.003,0.123
1218.396,0.282,-0.010,0.119
1218.458,0.287,-0.013,0.117
1218.541,0.307,-0.027,0.111
1218.603,0.334,-0.034,0.103
1218.666,0.343,-0.037,0.099
1218.728,0.369,-0.041,0.092
1218.790,0.389,-0.043,0.084
1218.853,0.393,-0.046,0.080
1218.915,0.415,-0.049,0.074
1218.977,0.418,-0.050,0.070
1219.040,0.432,-0.049,0.066
1219.103,0.448,-0.046,0.060
1219.166,0.453,-0.044,0.058
1219.228,0.469,-0.036,0.053
1219.290,0.477,-0.031,0.051
1219.353,0.497,-0.020,0.045
1219.415,0.519,-0.011,0.038
1219.477,0.528,-0.008,0.033
1219.540,0.546,-0.004,0.028
1219.602,0.557,-0.000,0.025
1219.665,0.572,0.003,0.020
1219.727,0.582,0.004,0.016
1219.790,0.592,0.005,0.013
1219.852,0.600,0.007,0.011
1219.915,0.621,0.006,0.008
1219.978,0.631,0.008,0.006
1220.040,0.630,0.006,0.006
1220.103,0.630,0.012,0.006
1220.166,0.628,0.015,0.006
1220.228,0.580,0.016,0.006
1220.290,0.581,0.017,0.006
1220.353,0.633,0.023,0.004
1220.415,0.586,0.023,0.004
1220.477,0.713,0.034,0.004
1220.540,0.712,0.036,0.004
1220.602,0.581,0.031,0.004
1220.665,0.574,0.027,0.005
1220.727,0.575,0.023,0.005
1220.790,0.575,0.021,0.005
1220.852,0.578,0.021,0.005
1220.915,0.579,0.022,0.004
1220.977,0.579,0.025,0.004
1221.039,0.574,0.026,0.005
1221.122,0.571,0.029,0.005
1221.185,0.573,0.030,0.005
1221.247,0.574,0.034,0.004
1221.310,0.578,0.034,0.004
1221.351,0.578,0.035,0.003
1221.413,0.580,0.039,0.003
1221.476,0.580,0.041,0.003
1221.538,0.580,0.056,0.002
1221.600,0.581,0.062,0.002
1221.663,0.583,0.079,0.001
1221.725,0.588,0.094,0.000
1221.788,0.589,0.097,0.000
1221.850,0.000,0.000,0.000
1221.892,0.000,0.000,0.000
1221.955,0.000,0.000,0.000
1222.017,0.000,0.000,0.000
1222.059,0.000,0.000,0.000
1222.122,0.000,0.000,0.000
1222.185,0.595,0.147,0.000
1222.227,0.592,0.146,0.000
1222.290,0.584,0.146,0.000
1222.352,0.567,0.138,0.000
1222.414,0.559,0.133,0.000
1222.477,0.554,0.132,0.000
1222.539,0.560,0.138,0.000
1222.622,0.569,0.139,0.000
1222.664,0.000,0.000,0.000
1222.727,0.000,0.000,0.000
1222.789,0.000,0.000,0.000
1222.832,0.000,0.000,0.000
1222.894,0.000,0.000,0.000
1222.957,0.000,0.000,0.000
1222.998,0.000,0.000,0.000
1223.061,0.000,0.000,0.000
1223.124,0.000,0.000,0.000
1223.166,0.000,0.000,0.000
1223.228,0.000,0.000,0.000
1223.270,0.000,0.000,0.000
1223.333,0.000,0.000,0.000
1223.395,0.000,0.000,0.000
1223.437,0.000,0.000,0.000
1223.499,0.000,0.000,0.000
1223.562,0.000,0.000,0.000
1223.603,0.000,0.000,0.000
1223.666,0.000,0.000,0.000
1223.728,0.000,0.000,0.000
1223.770,0.000,0.000,0.000
1223.832,0.000,0.000,0.000
1223.895,0.000,0.000,0.000
1223.957,0.000,0.000,0.000
1223.999,0.000,0.000,0.000
1224.062,0.000,0.000,0.000
1224.124,0.000,0.000,0.000
1224.187,0.000,0.000,0.000
1224.229,0.000,0.000,0.000
1224.291,0.000,0.000,0.000
1224.354,0.000,0.000,0.000
1224.395,0.000,0.000,0.000
1224.458,0.000,0.000,0.000
1224.520,0.000,0.000,0.000
1224.582,0.000,0.000,0.000
1224.624,0.000,0.000,0.000
1224.687,0.000,0.000,0.000
1224.749,0.000,0.000,0.000
1224.791,0.000,0.000,0.000
1224.854,0.000,0.000,0.000
1224.916,0.000,0.000,0.000
1224.978,0.000,0.000,0.000
1225.020,0.000,0.000,0.000
1225.082,0.000,0.000,0.000
1225.145,0.000,0.000,0.000
1225.187,0.000,0.000,0.000
1225.250,0.000,0.000,0.000
1225.312,0.000,0.000,0.000
1225.374,0.000,0.000,0.000
1225.416,0.000,0.000,0.000
1225.478,0.000,0.000,0.000
1225.541,0.000,0.000,0.000
1225.603,0.000,0.000,0.000
1225.645,0.000,0.000,0.000
1225.707,0.000,0.000,0.000
1225.770,0.000,0.000,0.000
1225.811,0.000,0.000,0.000
1225.874,0.000,0.000,0.000
1225.937,0.000,0.000,0.000
1225.978,0.000,0.000,0.000
1226.041,0.000,0.000,0.000
1226.104,0.000,0.000,0.000
1226.166,0.000,0.000,0.000
1226.208,0.000,0.000,0.000
1226.270,0.000,0.000,0.000
1226.333,0.000,0.000,0.000
1226.395,0.000,0.000,0.000
1226.437,0.000,0.000,0.000
1226.499,0.000,0.000,0.000
1226.562,0.000,0.000,0.000
1226.604,0.000,0.000,0.000
1226.666,0.000,0.000,0.000
1226.729,0.000,0.000,0.000
1226.791,0.000,0.000,0.000
1226.833,0.000,0.000,0.000
1226.896,0.000,0.000,0.000
1226.959,0.000,0.000,0.000
1227.001,0.000,0.000,0.000
1227.064,0.000,0.000,0.000
1227.127,0.000,0.000,0.000
1227.168,0.000,0.000,0.000
1227.231,0.000,0.000,0.000
1227.293,0.000,0.000,0.000
1227.335,0.000,0.000,0.000
1227.397,0.000,0.000,0.000
1227.461,0.000,0.000,0.000
1227.502,0.000,0.000,0.000
1227.565,0.000,0.000,0.000
1227.627,0.000,0.000,0.000
1227.669,0.000,0.000,0.000
1227.732,0.000,0.000,0.000
1227.794,0.000,0.000,0.000
1227.836,0.000,0.000,0.000
1227.898,0.517,-0.075,0.004
1227.981,0.489,-0.069,0.009
1228.044,0.409,-0.058,0.035
1228.107,0.377,-0.051,0.048
1228.169,0.325,-0.047,0.067
1228.231,0.303,-0.043,0.075
1228.294,0.285,-0.041,0.082
1228.377,0.287,-0.041,0.081
1228.439,0.311,-0.043,0.072
1228.502,0.326,-0.041,0.067
1228.565,0.326,-0.040,0.067
1228.627,0.312,-0.038,0.072
1228.690,0.296,-0.036,0.078
1228.773,0.289,-0.036,0.080
1228.835,0.279,-0.033,0.084
1228.898,0.265,-0.035,0.088
1228.961,0.262,-0.032,0.089
1229.023,0.251,-0.025,0.093
1229.085,0.242,-0.016,0.097
1229.148,0.239,-0.012,0.098
1229.210,0.229,-0.007,0.101
1229.273,0.222,-0.006,0.102
1229.335,0.219,-0.005,0.103
1229.398,0.219,-0.003,0.103
1229.460,0.225,-0.001,0.102
1229.543,0.234,0.002,0.100
1229.606,0.237,0.003,0.099
1229.668,0.244,0.005,0.097
1229.731,0.249,0.003,0.096
1229.814,0.250,0.002,0.095
1229.877,0.258,-0.002,0.093
1229.939,0.270,-0.009,0.089
1230.022,0.275,-0.013,0.088
1230.064,0.278,-0.022,0.086
1230.127,0.275,-0.028,0.086
1230.189,0.271,-0.034,0.086
1230.252,0.271,-0.037,0.085
1230.314,0.269,-0.044,0.084
1230.377,0.271,-0.048,0.083
1230.439,0.267,-0.054,0.082
1230.501,0.263,-0.060,0.081
1230.564,0.259,-0.063,0.081
1230.627,0.251,-0.066,0.082
1230.689,0.247,-0.068,0.082
1230.752,0.239,-0.074,0.082
1230.814,0.235,-0.078,0.081
1230.856,0.230,-0.085,0.079
1230.918,0.225,-0.090,0.078
1230.980,0.218,-0.092,0.078
1231.043,0.213,-0.091,0.078
1231.106,0.202,-0.091,0.080
1231.169,0.200,-0.089,0.081
1231.231,0.192,-0.084,0.083
1231.293,0.188,-0.080,0.085
1231.356,0.181,-0.076,0.087
1231.418,0.178,-0.071,0.090
1231.481,0.177,-0.064,0.091
1231.522,0.174,-0.060,0.093
1231.585,0.172,-0.053,0.095
1231.648,0.174,-0.051,0.095
1231.710,0.173,-0.043,0.096
1231.772,0.086,-0.020,0.096
1231.835,0.085,-0.018,0.098
1231.897,0.085,-0.017,0.097
1231.959,0.087,-0.015,0.097
1232.022,0.090,-0.012,0.097
1232.084,0.093,-0.011,0.095
1232.148,0.099,-0.010,0.093
1232.189,0.099,-0.009,0.093
1232.252,0.094,-0.007,0.094
1232.314,0.092,-0.005,0.095
1232.376,0.089,-0.001,0.092
1232.439,0.089,0.002,0.092
1232.501,0.092,0.004,0.090
1232.564,0.096,0.006,0.088
1232.626,0.098,0.010,0.086
1232.688,0.099,0.012,0.085
1232.751,0.101,0.015,0.083
1232.792,0.102,0.016,0.082
1232.855,0.106,0.019,0.079
1232.917,0.107,0.020,0.078
1232.980,0.110,0.019,0.076
1233.042,0.114,0.018,0.074
1233.105,0.120,0.017,0.071
1233.167,0.123,0.017,0.069
1233.229,0.127,0.014,0.067
1233.291,0.128,0.013,0.067
1233.375,0.134,0.012,0.064
1233.437,0.136,0.011,0.062
1233.499,0.139,0.011,0.060
1233.562,0.144,0.011,0.057
1233.624,0.146,0.012,0.054
1233.707,0.152,0.013,0.050
1233.770,0.155,0.015,0.047
1233.832,0.155,0.015,0.046
1233.894,0.155,0.016,0.046
1233.957,0.153,0.016,0.048
1234.020,0.149,0.016,0.051
1234.062,0.143,0.016,0.055
1234.124,0.136,0.017,0.060
1234.187,0.132,0.017,0.062
1234.249,0.127,0.018,0.065
1234.312,0.124,0.018,0.067
1234.374,0.119,0.018,0.070
1234.436,0.119,0.018,0.071
1234.499,0.116,0.016,0.073
1234.561,0.113,0.016,0.075
1234.603,0.107,0.015,0.079
1234.665,0.105,0.015,0.080
1234.727,0.102,0.014,0.082
1234.789,0.102,0.013,0.082
1234.852,0.100,0.013,0.083
1234.915,0.100,0.013,0.083
1234.977,0.237,0.034,0.104
1235.040,0.240,0.036,0.103
1235.102,0.106,0.017,0.078
1235.165,0.108,0.019,0.076
1235.227,0.112,0.021,0.073
1235.289,0.112,0.022,0.072
1235.331,0.112,0.023,0.071
1235.393,0.113,0.024,0.071
1235.456,0.112,0.025,0.071
1235.518,0.105,0.026,0.073
1235.581,0.097,0.026,0.076
1235.643,0.094,0.027,0.077
1235.706,0.086,0.028,0.079
1235.768,0.083,0.028,0.080
1235.831,0.081,0.028,0.080
1235.873,0.080,0.029,0.080
1235.935,0.078,0.032,0.077
1235.997,0.078,0.033,0.075
1236.060,0.081,0.034,0.072
1236.122,0.083,0.036,0.070
1236.185,0.087,0.037,0.066
1236.247,0.091,0.036,0.064
1236.310,0.099,0.037,0.060
1236.372,0.100,0.037,0.058
1236.434,0.110,0.035,0.053
1236.476,0.119,0.032,0.048
1236.538,0.122,0.031,0.047
1236.600,0.130,0.024,0.045
1236.663,0.134,0.020,0.044
1236.725,0.138,0.011,0.042
1236.788,0.139,0.007,0.042
1236.850,0.142,-0.003,0.039
1236.892,0.142,-0.007,0.038
1236.955,0.148,-0.016,0.032
1237.017,0.149,-0.020,0.029
1237.079,0.150,-0.027,0.024
1237.142,0.150,-0.031,0.021
1237.205,0.154,-0.038,0.015
1237.247,0.155,-0.042,0.011
1237.310,0.158,-0.048,0.006
1237.372,0.159,-0.052,0.004
1237.435,0.157,-0.058,0.002
1237.497,0.155,-0.060,0.001
1237.559,0.153,-0.061,0.001
1237.622,0.151,-0.066,0.000
