t_ms,vx,vy,vz
940.141,0.000,0.089,0.166
940.163,0.071,0.080,0.168
940.184,0.067,0.067,0.170
940.205,0.055,0.055,0.172
940.227,0.045,0.043,0.173
940.269,0.042,0.035,0.174
940.352,0.039,0.024,0.175
940.415,0.040,0.012,0.176
940.478,0.035,0.006,0.176
940.541,0.033,-0.000,0.176
940.624,0.044,-0.010,0.177
940.686,0.045,-0.012,0.176
940.749,0.045,-0.010,0.176
940.812,0.044,-0.007,0.176
940.895,0.045,-0.001,0.175
940.957,0.048,0.007,0.173
941.020,0.046,0.011,0.173
941.082,0.045,0.014,0.172
941.165,0.043,0.018,0.170
941.248,0.044,0.018,0.169
941.311,0.041,0.016,0.169
941.373,0.042,0.011,0.168
941.456,0.048,0.009,0.167
941.518,0.049,0.002,0.167
941.601,0.051,-0.005,0.166
941.664,0.055,-0.010,0.164
941.747,0.051,-0.011,0.163
941.809,0.053,-0.010,0.164
941.872,0.053,-0.008,0.163
941.955,0.052,-0.003,0.162
942.017,0.052,0.003,0.162
942.100,0.050,0.005,0.161
942.163,0.048,0.005,0.159
942.246,0.046,0.005,0.158
942.308,0.047,0.004,0.158
942.370,0.050,-0.003,0.157
942.453,0.054,-0.010,0.156
942.515,0.054,-0.014,0.155
942.598,0.056,-0.022,0.154
942.661,0.063,-0.026,0.152
942.744,0.065,-0.028,0.151
942.806,0.060,-0.030,0.151
942.868,0.057,-0.030,0.150
942.951,0.048,-0.033,0.148
943.014,0.042,-0.043,0.147
943.076,0.040,-0.050,0.145
943.159,0.042,-0.054,0.144
943.221,0.038,-0.061,0.143
943.304,0.035,-0.063,0.135
943.366,0.024,-0.065,0.132
943.450,0.021,-0.063,0.131
943.512,0.015,-0.061,0.131
943.595,0.007,-0.053,0.131
943.657,-0.001,-0.044,0.131
943.720,-0.009,-0.039,0.131
943.803,-0.009,-0.039,0.130
943.865,-0.013,-0.037,0.129
943.948,-0.013,-0.033,0.129
944.010,-0.012,-0.027,0.130
944.093,-0.012,-0.018,0.129
944.155,-0.015,-0.012,0.128
944.218,-0.020,-0.002,0.128
944.300,-0.025,0.007,0.126
944.363,-0.029,0.016,0.126
944.446,-0.036,0.020,0.132
944.509,-0.033,0.026,0.132
944.571,-0.021,0.029,0.124
944.654,-0.014,0.034,0.123
944.716,-0.016,0.035,0.123
944.799,-0.017,0.034,0.121
944.862,-0.024,0.030,0.119
944.945,-0.023,0.023,0.118
945.007,-0.023,0.018,0.118
945.069,-0.019,0.016,0.118
945.152,-0.017,0.012,0.117
945.214,-0.017,0.010,0.117
945.297,-0.018,0.009,0.116
945.366,-0.025,0.008,0.114
945.449,-0.027,0.008,0.113
945.511,-0.030,0.009,0.113
945.594,-0.029,0.010,0.112
945.657,-0.029,0.011,0.111
945.740,-0.027,0.010,0.110
945.802,-0.034,0.010,0.109
945.865,-0.036,0.007,0.108
945.948,-0.041,0.001,0.106
946.010,-0.052,-0.005,0.104
946.093,-0.058,-0.010,0.102
946.155,-0.049,-0.009,0.119
946.218,-0.049,-0.006,0.119
946.301,-0.043,-0.001,0.119
946.363,-0.034,0.005,0.119
946.425,-0.032,0.006,0.119
946.488,-0.031,0.007,0.118
946.570,-0.025,0.006,0.118
946.633,-0.017,0.006,0.118
946.695,-0.012,0.006,0.118
946.758,-0.008,0.006,0.116
946.820,-0.004,0.005,0.117
946.903,-0.004,0.006,0.115
946.966,-0.005,0.007,0.114
947.028,-0.006,0.009,0.114
947.090,-0.000,0.010,0.114
947.153,0.006,0.011,0.113
947.215,0.010,0.012,0.114
947.298,0.014,0.016,0.113
947.361,0.016,0.018,0.110
947.423,0.019,0.019,0.110
947.485,0.021,0.020,0.109
947.548,0.024,0.017,0.109
947.631,0.028,0.015,0.108
947.693,0.030,0.013,0.109
947.755,0.031,0.006,0.108
947.818,0.030,-0.000,0.108
947.880,0.031,-0.001,0.107
947.943,0.035,-0.004,0.106
948.005,0.034,-0.004,0.106
948.088,0.033,-0.004,0.105
948.150,0.033,-0.005,0.104
948.213,0.035,-0.007,0.104
948.275,0.035,-0.008,0.103
948.337,0.034,-0.010,0.101
948.400,0.035,-0.011,0.101
948.483,0.037,-0.011,0.099
948.545,0.039,-0.013,0.098
948.608,0.043,-0.021,0.098
948.670,0.047,-0.023,0.097
948.733,0.054,-0.029,0.095
948.795,0.056,-0.032,0.094
948.857,0.058,-0.035,0.094
948.919,0.059,-0.034,0.094
949.002,0.058,-0.031,0.093
949.064,0.058,-0.025,0.093
949.127,0.057,-0.023,0.093
949.189,0.058,-0.022,0.092
949.252,0.060,-0.020,0.091
949.314,0.054,-0.014,0.091
949.397,0.050,-0.009,0.089
949.459,0.083,-0.009,0.088
949.522,0.071,-0.007,0.088
949.584,0.063,-0.000,0.086
949.667,0.051,-0.002,0.085
949.730,0.047,-0.003,0.085
949.792,0.036,-0.011,0.084
949.875,0.029,-0.028,0.081
949.937,0.022,-0.036,0.079
949.999,0.011,-0.048,0.077
950.062,0.003,-0.063,0.074
950.145,-0.002,-0.077,0.072
950.207,-0.010,-0.082,0.070
950.270,-0.015,-0.095,0.066
950.332,-0.011,-0.108,0.064
950.415,0.002,-0.118,0.063
950.477,0.007,-0.120,0.063
950.540,0.018,-0.126,0.062
950.622,0.018,-0.124,0.062
950.685,0.023,-0.115,0.064
950.747,0.016,-0.104,0.065
950.809,0.010,-0.090,0.067
950.892,0.009,-0.081,0.067
950.955,-0.029,-0.046,0.097
951.018,-0.033,-0.031,0.100
951.080,-0.013,-0.022,0.070
951.163,-0.013,-0.009,0.070
951.225,-0.024,0.014,0.068
951.288,-0.034,0.032,0.066
951.371,-0.043,0.038,0.063
951.434,-0.067,0.052,0.057
951.496,-0.081,0.060,0.054
951.558,-0.089,0.058,0.052
951.642,-0.106,0.056,0.049
951.704,-0.116,0.060,0.047
951.766,-0.117,0.068,0.044
951.829,-0.119,0.082,0.042
951.891,-0.127,0.107,0.036
951.974,-0.120,0.132,0.031
952.037,-0.112,0.141,0.030
952.099,-0.101,0.160,0.028
952.182,-0.081,0.168,0.027
952.245,-0.070,0.169,0.027
952.307,-0.057,0.171,0.027
952.370,-0.033,0.173,0.029
952.453,-0.017,0.176,0.028
952.515,-0.006,0.178,0.029
952.577,0.009,0.175,0.030
952.640,0.011,0.177,0.029
952.702,0.014,0.178,0.029
952.785,0.027,0.169,0.032
952.848,0.044,0.159,0.036
952.910,0.042,0.147,0.039
952.972,0.046,0.128,0.044
953.055,0.054,0.111,0.050
953.117,0.053,0.105,0.051
953.179,0.055,0.092,0.054
953.242,0.060,0.079,0.056
953.324,0.060,0.074,0.058
953.387,0.068,0.059,0.060
953.449,0.072,0.050,0.062
953.512,0.061,0.033,0.062
953.574,0.061,0.030,0.063
953.657,0.054,0.022,0.063
953.719,0.048,0.011,0.063
953.781,0.047,0.007,0.063
953.844,0.044,-0.008,0.062
953.927,0.042,-0.011,0.062
953.989,0.044,-0.016,0.062
954.051,0.035,-0.030,0.060
954.114,0.044,-0.037,0.060
954.176,0.040,-0.039,0.059
954.239,0.041,-0.046,0.059
954.301,0.037,-0.047,0.058
954.364,0.032,-0.046,0.058
954.426,0.020,-0.041,0.057
954.509,0.017,-0.033,0.057
954.571,0.016,-0.026,0.056
954.634,0.004,-0.016,0.055
954.696,0.001,-0.011,0.055
954.758,-0.008,-0.003,0.053
954.841,-0.011,0.001,0.053
954.903,-0.020,0.005,0.051
954.966,-0.030,0.006,0.050
955.028,-0.037,0.003,0.049
955.091,-0.073,0.006,0.051
955.153,-0.072,0.002,0.048
955.237,-0.066,-0.008,0.046
955.299,-0.072,-0.015,0.045
955.362,-0.072,-0.024,0.043
955.424,-0.072,-0.034,0.042
955.486,-0.067,-0.048,0.000
955.570,-0.067,-0.063,0.000
955.633,-0.071,-0.076,0.000
955.695,-0.070,-0.096,0.000
955.758,-0.071,-0.111,0.000
955.841,-0.069,-0.115,0.000
955.903,-0.079,-0.120,0.000
955.965,-0.076,-0.125,0.000
956.028,-0.076,-0.134,0.000
956.110,-0.074,-0.136,0.000
956.173,-0.072,-0.141,0.000
956.235,-0.075,-0.145,0.000
956.298,-0.070,-0.151,0.000
956.361,-0.067,-0.152,0.000
956.423,-0.070,-0.154,0.000
956.485,-0.070,-0.155,0.000
956.548,-0.065,-0.157,0.000
956.610,-0.060,-0.157,0.000
956.693,-0.061,-0.157,0.000
956.756,-0.062,-0.154,0.000
956.818,-0.061,-0.153,0.000
956.880,-0.057,-0.148,0.000
956.943,-0.050,-0.142,0.000
957.005,-0.050,-0.141,0.000
957.067,-0.046,-0.139,0.000
957.130,-0.048,-0.138,0.000
957.192,-0.045,-0.133,0.000
957.255,-0.041,-0.123,0.000
957.317,-0.039,-0.120,0.000
957.379,-0.034,-0.113,0.000
957.442,-0.028,-0.109,0.000
957.525,-0.019,-0.105,0.000
957.587,-0.015,-0.103,0.000
957.650,-0.017,-0.103,0.000
957.712,-0.018,-0.098,0.000
957.774,-0.016,-0.091,0.000
957.837,-0.012,-0.080,0.000
957.899,-0.008,-0.070,0.000
957.962,-0.006,-0.067,0.000
958.024,-0.006,-0.067,0.000
958.108,-0.009,-0.068,0.000
958.170,-0.008,-0.072,0.000
958.233,-0.003,-0.078,0.000
958.295,0.006,-0.085,0.000
958.358,0.005,-0.093,0.000
958.441,0.009,-0.098,0.000
