Connecting to /dev/serial/by-id/usb-ArduPilot_Pixhawk6X_49002D001551333034383239-if00 @ 57600...
HEARTBEAT received: 1, 0
t_ms,ch6,alt,lat,lon,roll,pitch,yaw
237,1000,0.603,21.0479034,105.7855936,2.2,0.6,-8.7
339,1000,0.603,21.0479034,105.7855936,2.2,0.6,-8.8
441,1000,0.6,21.0479034,105.7855936,2.2,0.6,-8.8
544,1000,0.594,21.0479034,105.7855937,2.2,0.6,-8.8
626,1000,0.588,21.0479034,105.7855937,2.2,0.6,-8.8
728,1000,0.583,21.0479035,105.7855937,2.2,0.6,-8.8
831,1000,0.579,21.0479035,105.7855938,2.2,0.6,-8.8
933,1000,0.578,21.0479035,105.7855938,2.2,0.6,-8.8
1036,1000,0.577,21.0479035,105.7855938,2.2,0.6,-8.8
1138,1000,0.573,21.0479036,105.7855939,2.2,0.6,-8.8
1241,1000,0.569,21.0479036,105.7855939,2.2,0.6,-8.8
1344,1000,0.565,21.0479036,105.7855939,2.2,0.6,-8.8
1446,1000,0.561,21.0479037,105.7855939,2.2,0.6,-8.8
1528,1000,0.025,21.0479037,105.7855939,2.2,0.6,-8.8
1631,1000,0.035,21.0479037,105.785594,2.2,0.6,-8.8
1733,1000,0.042,21.0479038,105.785594,2.2,0.6,-8.8
1836,1000,0.044,21.0479038,105.785594,2.2,0.6,-8.8
1938,1000,0.046,21.0479038,105.785594,2.2,0.6,-8.8
2040,1000,0.046,21.0479038,105.785594,2.2,0.6,-8.8
2142,1000,0.047,21.0479039,105.7855941,2.2,0.6,-8.8
2244,1000,0.047,21.0479039,105.7855941,2.2,0.6,-8.8
2347,1000,0.048,21.0479039,105.7855941,2.2,0.6,-8.8
2428,1000,0.048,21.047904,105.7855941,2.2,0.6,-8.8
2530,1000,0.048,21.047904,105.7855941,2.2,0.6,-8.8
2632,1000,0.048,21.047904,105.7855941,2.2,0.6,-8.8
2734,1000,0.049,21.0479041,105.7855942,2.2,0.6,-8.8
2837,1000,0.049,21.0479041,105.7855942,2.2,0.6,-8.8
2939,1000,0.049,21.0479042,105.7855942,2.2,0.6,-8.8
3041,1000,0.049,21.0479042,105.7855942,2.2,0.6,-8.8
3144,1000,0.049,21.0479042,105.7855942,2.2,0.6,-8.8
3246,1000,0.049,21.0479043,105.7855943,2.2,0.6,-8.8
3328,1000,0.049,21.0479043,105.7855943,2.2,0.6,-8.8
3430,1000,0.049,21.0479043,105.7855943,2.2,0.6,-8.8
3532,1000,0.049,21.0479044,105.7855943,2.2,0.6,-8.8
3635,1000,0.049,21.0479044,105.7855943,2.2,0.6,-8.8
3737,1000,0.049,21.0479045,105.7855943,2.2,0.6,-8.8
3839,1000,0.049,21.0479045,105.7855944,2.2,0.6,-8.8
3942,1000,0.049,21.0479045,105.7855944,2.2,0.6,-8.8
