Connecting to /dev/serial/by-id/usb-ArduPilot_Pixhawk6X_49002D001551333034383239-if00 @ 57600...
HEARTBEAT received: 1, 0
t_ms,ch6,alt,lat,lon,roll,pitch,yaw
45,1000,0.566,21.0484394,105.7863406,0.9,-0.1,57.4
107,1000,0.56,21.0484394,105.7863405,0.9,-0.1,57.4
168,1000,0.556,21.0484394,105.7863405,0.9,-0.2,57.4
230,1000,0.554,21.0484393,105.7863405,0.9,-0.2,57.4
292,1000,0.553,21.0484393,105.7863404,0.9,-0.2,57.4
353,1000,0.554,21.0484392,105.7863404,0.9,-0.1,57.4
415,1000,0.556,21.0484391,105.7863403,0.9,-0.1,57.4
477,1000,0.556,21.0484391,105.7863403,0.9,-0.2,57.4
538,1000,0.556,21.0484391,105.7863403,0.9,-0.2,57.4
600,1000,0.555,21.048439,105.7863403,0.9,-0.2,57.4
662,1000,0.557,21.048439,105.7863403,0.9,-0.2,57.4
723,1000,0.559,21.0484389,105.7863403,0.9,-0.2,57.4
785,1000,0.56,21.0484389,105.7863403,0.9,-0.2,57.4
847,1000,0.564,21.0484388,105.7863403,0.9,-0.2,57.4
908,1000,0.573,21.0484388,105.7863403,0.9,-0.2,57.4
970,1000,0.582,21.0484388,105.7863403,0.9,-0.2,57.4
1032,1000,0.591,21.0484388,105.7863403,0.9,-0.2,57.4
1093,1000,0.6,21.0484387,105.7863403,0.9,-0.2,57.4
1155,1000,0.606,21.0484387,105.7863403,0.9,-0.2,57.4
1217,1000,0.612,21.0484386,105.7863403,0.9,-0.2,57.4
1279,1000,2.007,21.0484603,105.7863912,0.8,-0.1,56.4
1341,1000,2.004,21.0484604,105.7863912,0.8,-0.1,56.4
1403,1000,2.003,21.0484604,105.7863913,0.8,-0.1,56.4
1464,1000,2.006,21.0484605,105.7863913,0.8,-0.1,56.4
1526,1000,2.006,21.0484605,105.7863914,0.8,-0.1,56.4
1588,1000,2.006,21.0484606,105.7863915,0.8,-0.1,56.4
1649,1000,2.004,21.0484607,105.7863915,0.8,-0.1,56.4
1711,1000,2.004,21.0484608,105.7863916,0.8,-0.1,56.4
1773,1000,2.009,21.0484608,105.7863917,0.8,-0.1,56.4
1834,1000,2.016,21.0484609,105.7863918,0.8,-0.1,56.4
1896,1000,2.023,21.0484609,105.7863918,0.8,-0.1,56.4
1957,1000,2.033,21.048461,105.7863919,0.8,-0.1,56.4
2019,1000,2.044,21.048461,105.7863919,0.8,-0.1,56.4
2080,1000,2.055,21.048461,105.7863919,0.8,-0.1,56.4
2142,1000,2.065,21.0484611,105.786392,0.8,-0.1,56.4
2203,1000,2.072,21.0484611,105.7863921,0.8,-0.1,56.4
2264,1000,2.083,21.0484612,105.7863922,0.8,-0.1,56.4
2326,1000,2.095,21.0484612,105.7863923,0.8,-0.1,56.4
2387,1000,2.109,21.0484613,105.7863923,0.8,-0.1,56.4
2449,1000,2.117,21.0484613,105.7863924,0.8,-0.1,56.4
2511,1000,2.123,21.0484614,105.7863925,0.8,-0.1,56.4
2572,1000,2.128,21.0484615,105.7863925,0.8,-0.1,56.4
2634,1000,2.13,21.0484615,105.7863925,0.8,-0.0,56.4
2695,1000,2.13,21.0484616,105.7863926,0.8,-0.0,56.4
2757,1000,2.129,21.0484617,105.7863926,0.8,-0.0,56.4
2819,1000,2.13,21.0484618,105.7863927,0.8,-0.1,56.3
2881,1000,2.131,21.0484618,105.7863928,0.8,-0.1,56.3
2942,1000,2.13,21.0484619,105.7863929,0.8,-0.1,56.4
3003,1000,2.129,21.048462,105.786393,0.8,-0.1,56.4
3065,1000,2.124,21.0484621,105.7863931,0.8,-0.1,56.4
3147,1000,2.124,21.0484622,105.7863932,0.8,-0.1,56.4
3249,1000,2.123,21.0484622,105.7863932,0.8,-0.0,56.4
3350,1000,2.122,21.0484623,105.7863933,0.8,-0.0,56.4
3452,1000,2.12,21.0484623,105.7863934,0.8,-0.0,56.3
3553,1000,2.12,21.0484624,105.7863934,0.8,-0.0,56.3
3655,1000,2.12,21.0484625,105.7863935,0.8,-0.0,56.3
3756,1000,2.121,21.0484626,105.7863936,0.8,-0.0,56.3
3838,1000,2.123,21.0484626,105.7863936,0.8,-0.0,56.3
3940,1000,2.125,21.0484627,105.7863937,0.8,-0.0,56.3
4042,1000,2.13,21.0484628,105.7863938,0.8,-0.0,56.3
4144,1000,2.137,21.0484629,105.7863939,0.8,-0.1,56.3
4246,1000,2.143,21.0484629,105.786394,0.8,-0.1,56.3
4348,1000,2.146,21.048463,105.7863941,0.8,-0.1,56.3
4450,1000,2.147,21.0484631,105.7863941,0.8,-0.1,56.3
4554,1000,2.149,21.0484631,105.7863942,0.8,-0.0,56.3
4656,1000,2.152,21.0484632,105.7863943,0.8,-0.0,56.3
4738,1000,2.153,21.0484633,105.7863944,0.8,-0.1,56.3
4840,1000,2.157,21.0484633,105.7863945,0.9,-0.1,56.3
4943,1000,2.158,21.0484634,105.7863946,0.9,-0.1,56.3
5045,1000,2.158,21.0484635,105.7863947,0.9,-0.1,56.3
5147,1000,2.158,21.0484636,105.7863949,0.9,-0.1,56.3
5249,1000,2.159,21.0484637,105.786395,0.9,-0.1,56.3
5351,1000,2.163,21.0484638,105.7863952,0.9,-0.1,56.3
5453,1000,2.166,21.0484638,105.7863953,0.9,-0.1,56.3
5555,1000,2.168,21.0484639,105.7863954,0.9,-0.1,56.3
5657,1000,2.175,21.048464,105.7863955,0.9,-0.1,56.3
5739,1000,2.178,21.048464,105.7863956,0.9,-0.1,56.3
5841,1000,2.181,21.0484641,105.7863957,0.9,-0.1,56.3
5943,1000,2.181,21.0484642,105.7863958,0.9,-0.1,56.3
6045,1000,2.184,21.0484642,105.7863958,0.9,-0.1,56.3
6147,1000,2.187,21.0484643,105.7863959,0.9,-0.0,56.3
6249,1000,2.193,21.0484643,105.7863959,0.9,-0.0,56.3
6352,1000,2.202,21.0484644,105.786396,0.9,-0.0,56.3
6454,1000,2.21,21.0484644,105.786396,0.9,-0.0,56.3
6557,1000,2.219,21.0484645,105.7863961,0.9,-0.0,56.3
6639,1000,2.23,21.0484646,105.7863961,0.9,-0.0,56.3
6741,1000,2.238,21.0484647,105.7863962,0.9,-0.0,56.3
6843,1000,2.246,21.0484647,105.7863963,0.9,-0.0,56.3
6945,1000,2.25,21.0484648,105.7863963,0.9,-0.0,56.3
