t_ms,vx,vy,vz
705.913,-0.194,-0.143,0.122
705.934,-0.196,-0.142,0.122
705.956,-0.199,-0.140,0.122
705.977,-0.193,-0.140,0.123
705.998,-0.182,-0.141,0.125
706.061,-0.177,-0.142,0.126
706.145,-0.164,-0.142,0.129
706.207,-0.154,-0.149,0.129
706.270,-0.153,-0.151,0.129
706.333,-0.166,-0.168,0.121
706.395,-0.193,-0.212,0.100
706.458,-0.202,-0.232,0.091
706.541,-0.211,-0.261,0.077
706.603,-0.218,-0.277,0.069
706.665,-0.219,-0.278,0.068
706.748,-0.217,-0.270,0.070
706.811,-0.212,-0.253,0.077
706.873,-0.214,-0.247,0.079
706.935,-0.211,-0.238,0.082
706.998,-0.206,-0.233,0.085
707.081,-0.193,-0.226,0.088
707.143,-0.186,-0.224,0.089
707.206,-0.176,-0.219,0.091
707.268,-0.158,-0.216,0.095
707.352,-0.150,-0.212,0.096
707.414,-0.133,-0.206,0.100
707.477,-0.122,-0.201,0.103
707.539,-0.118,-0.197,0.104
707.622,-0.106,-0.192,0.106
707.685,-0.088,-0.188,0.110
707.747,-0.082,-0.185,0.110
707.809,-0.073,-0.178,0.113
707.871,-0.060,-0.173,0.116
707.955,-0.051,-0.171,0.117
708.018,-0.030,-0.167,0.120
708.080,-0.011,-0.162,0.123
708.142,-0.001,-0.160,0.124
708.226,0.008,-0.154,0.126
708.288,0.010,-0.144,0.130
708.350,0.010,-0.140,0.131
708.413,0.009,-0.132,0.132
708.496,0.013,-0.124,0.135
708.559,0.018,-0.116,0.137
708.622,0.021,-0.113,0.137
708.685,0.032,-0.106,0.140
708.747,0.043,-0.093,0.143
708.830,0.048,-0.083,0.144
708.892,0.051,-0.065,0.148
708.954,0.050,-0.048,0.149
709.038,0.047,-0.043,0.149
709.100,0.043,-0.035,0.150
709.183,0.040,-0.032,0.149
709.245,0.038,-0.030,0.148
709.308,0.033,-0.024,0.147
709.391,0.033,-0.022,0.147
709.453,0.036,-0.024,0.146
709.516,0.039,-0.027,0.145
709.598,0.042,-0.032,0.145
709.660,0.047,-0.039,0.144
709.723,0.052,-0.046,0.143
709.806,0.056,-0.046,0.139
709.868,0.062,-0.048,0.139
709.930,0.068,-0.054,0.137
710.014,0.079,-0.063,0.135
710.076,0.084,-0.067,0.134
710.158,0.085,-0.067,0.133
710.221,0.088,-0.065,0.132
710.284,0.086,-0.064,0.132
710.367,0.081,-0.059,0.133
710.429,0.077,-0.056,0.132
710.492,0.071,-0.046,0.133
710.574,0.068,-0.041,0.133
710.637,0.067,-0.039,0.132
710.699,0.070,-0.034,0.133
710.782,0.070,-0.023,0.133
710.844,0.069,-0.011,0.132
710.927,0.063,-0.004,0.132
710.989,0.053,0.016,0.131
711.052,0.035,0.036,0.128
711.135,0.014,0.053,0.124
711.197,0.003,0.064,0.121
711.259,-0.025,0.080,0.114
711.342,-0.047,0.096,0.106
711.405,-0.069,0.112,0.098
711.488,-0.085,0.124,0.092
711.550,-0.092,0.128,0.089
711.613,-0.104,0.138,0.082
711.696,-0.117,0.144,0.078
711.758,-0.121,0.147,0.075
711.841,-0.124,0.148,0.074
711.903,-0.125,0.151,0.072
711.966,-0.126,0.156,0.070
712.048,-0.125,0.155,0.073
712.111,-0.119,0.149,0.073
712.173,-0.118,0.145,0.075
712.255,-0.113,0.134,0.079
712.318,-0.111,0.121,0.083
712.401,-0.109,0.117,0.085
712.463,-0.103,0.103,0.090
712.526,-0.096,0.089,0.098
712.609,-0.087,0.070,0.100
712.671,-0.086,0.066,0.101
712.754,-0.088,0.055,0.105
712.817,-0.082,0.040,0.105
712.879,-0.082,0.026,0.107
712.962,-0.078,0.017,0.107
713.025,-0.075,0.001,0.111
713.087,-0.065,-0.013,0.112
713.170,-0.063,-0.023,0.108
713.233,-0.064,-0.031,0.106
713.316,-0.066,-0.034,0.104
713.378,-0.067,-0.042,0.103
713.441,-0.071,-0.051,0.099
713.524,-0.067,-0.063,0.096
713.586,-0.068,-0.070,0.095
713.648,-0.065,-0.084,0.091
713.731,-0.067,-0.096,0.086
713.794,-0.068,-0.108,0.082
713.856,-0.067,-0.111,0.080
713.939,-0.067,-0.115,0.077
714.001,-0.064,-0.117,0.077
714.064,-0.060,-0.116,0.076
714.146,-0.057,-0.117,0.075
714.209,-0.049,-0.122,0.074
714.292,-0.041,-0.124,0.074
714.354,-0.036,-0.125,0.074
714.437,-0.034,-0.125,0.074
714.500,-0.028,-0.124,0.075
714.563,-0.023,-0.124,0.075
714.645,-0.014,-0.122,0.093
714.708,-0.010,-0.121,0.092
714.791,-0.007,-0.123,0.092
714.853,-0.006,-0.124,0.091
714.916,-0.005,-0.126,0.089
714.999,-0.005,-0.127,0.089
715.061,-0.004,-0.125,0.089
715.144,-0.002,-0.121,0.091
715.207,0.004,-0.115,0.094
715.269,0.009,-0.104,0.099
715.352,0.013,-0.100,0.100
715.415,0.016,-0.091,0.103
715.476,0.016,-0.079,0.108
715.559,0.019,-0.066,0.112
715.621,0.023,-0.050,0.116
715.705,0.025,-0.042,0.118
715.767,0.025,-0.030,0.120
715.829,0.026,-0.018,0.121
715.912,0.028,-0.014,0.120
715.974,0.028,-0.003,0.120
716.057,0.029,0.004,0.120
716.120,0.031,0.014,0.118
716.182,0.030,0.017,0.118
716.265,0.029,0.023,0.116
716.327,0.033,0.025,0.115
716.390,0.034,0.029,0.115
716.473,0.035,0.033,0.113
716.536,0.034,0.034,0.112
716.619,0.035,0.036,0.111
716.681,0.033,0.039,0.110
716.743,0.028,0.041,0.108
716.826,0.026,0.042,0.107
716.888,0.023,0.041,0.107
716.971,0.021,0.040,0.106
717.034,0.021,0.038,0.105
717.096,0.021,0.038,0.105
717.159,0.018,0.035,0.105
717.221,0.011,0.034,0.103
717.284,0.007,0.031,0.103
717.367,0.005,0.029,0.103
717.430,-0.001,0.024,0.102
717.493,-0.003,0.020,0.102
717.554,-0.004,0.016,0.101
717.637,-0.002,0.007,0.102
717.699,-0.005,-0.001,0.101
717.762,-0.007,-0.005,0.100
717.845,-0.009,-0.013,0.099
717.907,-0.016,-0.020,0.096
717.969,-0.020,-0.023,0.095
718.032,-0.029,-0.029,0.091
718.115,-0.031,-0.038,0.088
718.177,-0.032,-0.044,0.086
718.239,-0.031,-0.046,0.084
718.322,-0.027,-0.047,0.084
718.386,-0.026,-0.047,0.084
718.449,-0.025,-0.043,0.084
718.511,-0.025,-0.041,0.083
718.594,-0.026,-0.037,0.084
718.656,-0.021,-0.033,0.084
718.719,-0.019,-0.032,0.084
718.781,-0.016,-0.031,0.085
718.864,-0.014,-0.030,0.085
718.926,-0.012,-0.027,0.085
718.988,-0.012,-0.026,0.086
719.071,-0.012,-0.023,0.085
719.134,-0.009,-0.022,0.085
719.196,-0.010,-0.020,0.085
719.258,-0.009,-0.020,0.084
719.341,-0.013,-0.017,0.083
719.404,-0.017,-0.014,0.082
719.466,-0.022,-0.011,0.081
719.529,-0.030,-0.009,0.079
719.612,-0.034,-0.007,0.077
719.674,-0.042,-0.003,0.075
719.736,-0.044,-0.003,0.074
719.798,-0.044,-0.003,0.074
719.881,-0.043,-0.003,0.073
719.944,-0.042,-0.004,0.073
720.007,-0.040,-0.005,0.072
720.089,-0.040,-0.006,0.072
720.151,-0.076,-0.012,0.071
720.214,-0.078,-0.013,0.070
720.276,-0.080,-0.018,0.070
720.338,-0.084,-0.026,0.068
720.422,-0.080,-0.035,0.067
720.484,-0.080,-0.042,0.066
720.546,-0.077,-0.044,0.065
720.609,-0.067,-0.044,0.065
720.692,-0.058,-0.048,0.066
720.754,-0.054,-0.048,0.066
720.817,-0.048,-0.048,0.066
720.879,-0.043,-0.051,0.066
720.962,-0.035,-0.054,0.066
721.025,-0.032,-0.064,0.065
721.087,-0.028,-0.072,0.064
721.149,-0.021,-0.073,0.063
721.232,-0.017,-0.078,0.062
721.294,-0.012,-0.080,0.062
721.357,-0.015,-0.081,0.062
721.419,-0.017,-0.082,0.060
721.502,-0.022,-0.083,0.059
721.565,-0.026,-0.077,0.059
721.627,-0.028,-0.074,0.058
721.689,-0.032,-0.071,0.058
721.772,-0.032,-0.071,0.058
721.835,-0.032,-0.069,0.057
721.897,-0.037,-0.070,0.057
721.959,-0.035,-0.068,0.056
722.022,-0.032,-0.066,0.056
722.105,-0.033,-0.066,0.056
722.167,-0.035,-0.064,0.056
722.230,-0.037,-0.065,0.055
722.292,-0.039,-0.062,0.055
722.355,-0.039,-0.059,0.055
722.438,-0.038,-0.056,0.055
722.500,-0.041,-0.057,0.054
722.562,-0.044,-0.059,0.054
722.625,-0.044,-0.060,0.054
722.687,-0.047,-0.061,0.053
722.749,-0.046,-0.060,0.053
722.832,-0.042,-0.058,0.053
722.895,-0.042,-0.056,0.054
722.957,-0.041,-0.054,0.053
723.020,-0.037,-0.052,0.054
723.103,-0.037,-0.051,0.053
723.165,-0.035,-0.051,0.054
723.227,-0.031,-0.050,0.054
723.310,-0.024,-0.053,0.054
723.373,-0.023,-0.058,0.054
723.435,-0.021,-0.063,0.053
723.498,-0.020,-0.064,0.053
723.560,-0.011,-0.064,0.053
723.643,-0.008,-0.063,0.053
723.706,-0.005,-0.062,0.053
723.767,-0.000,-0.057,0.055
723.830,0.008,-0.051,0.055
723.892,0.010,-0.047,0.056
723.975,0.025,-0.044,0.057
724.037,0.040,-0.042,0.059
724.099,0.041,-0.042,0.059
724.162,0.044,-0.042,0.058
724.224,0.054,-0.035,0.059
724.307,0.059,-0.031,0.059
724.369,0.069,-0.021,0.061
724.432,0.072,-0.016,0.061
724.494,0.072,-0.008,0.061
724.556,0.079,0.003,0.061
724.640,0.083,0.014,0.061
724.702,0.081,0.019,0.060
724.764,0.073,0.029,0.059
724.827,0.069,0.039,0.058
724.889,0.066,0.044,0.057
724.951,0.054,0.046,0.056
725.034,0.046,0.048,0.055
725.097,0.042,0.048,0.054
725.159,0.034,0.046,0.053
725.222,0.029,0.042,0.053
725.284,0.025,0.041,0.053
725.346,0.023,0.038,0.053
725.429,0.012,0.033,0.052
725.491,0.009,0.033,0.051
725.553,0.000,0.029,0.050
725.617,-0.004,0.027,0.049
725.679,-0.011,0.020,0.049
725.741,-0.016,0.007,0.048
725.824,-0.015,0.003,0.048
725.887,-0.012,-0.006,0.048
725.949,-0.006,-0.010,0.049
726.012,-0.001,-0.009,0.049
726.074,0.010,-0.008,0.050
726.136,0.019,-0.009,0.051
726.198,0.023,-0.009,0.052
726.261,0.024,-0.011,0.052
726.323,0.018,-0.013,0.051
726.406,0.015,-0.012,0.050
726.448,0.012,-0.009,0.050
726.531,0.013,-0.004,0.049
726.594,0.013,0.000,0.049
726.635,0.011,0.009,0.049
726.698,0.002,0.012,0.048
726.760,0.001,0.021,0.047
726.823,-0.002,0.023,0.046
726.885,-0.002,0.029,0.046
726.968,-0.004,0.032,0.045
727.030,0.003,0.039,0.045
727.093,0.010,0.052,0.045
727.155,0.014,0.057,0.045
727.218,0.026,0.067,0.044
727.280,0.030,0.071,0.044
727.342,0.043,0.079,0.043
727.405,0.054,0.082,0.043
727.467,0.061,0.083,0.044
727.530,0.068,0.084,0.044
727.592,0.072,0.082,0.044
727.655,0.063,0.086,0.049
727.718,0.068,0.076,0.047
727.780,0.056,0.063,0.048
727.842,0.049,0.044,0.049
727.905,0.043,0.040,0.048
727.967,0.030,0.023,0.048
728.030,0.023,0.015,0.047
728.092,-0.002,0.003,0.044
728.154,-0.020,-0.009,0.040
728.217,-0.030,-0.010,0.038
728.280,-0.051,-0.018,0.034
728.342,-0.060,-0.024,0.032
728.405,-0.081,-0.028,0.029
728.467,-0.093,-0.029,0.026
728.530,-0.112,-0.030,0.023
728.592,-0.119,-0.030,0.021
728.654,-0.140,-0.031,0.018
728.717,-0.150,-0.037,0.016
728.779,-0.155,-0.040,0.015
728.842,-0.160,-0.044,0.014
728.905,-0.159,-0.046,0.014
728.967,-0.158,-0.047,0.014
729.029,-0.158,-0.047,0.014
729.092,-0.159,-0.045,0.014
729.154,-0.163,-0.046,0.013
729.217,-0.163,-0.047,0.013
729.279,-0.163,-0.053,0.012
729.341,-0.164,-0.052,0.012
729.404,-0.159,-0.060,0.012
729.466,-0.159,-0.062,0.012
729.549,-0.158,-0.060,0.011
729.611,-0.149,-0.059,0.012
729.673,-0.148,-0.059,0.013
729.736,-0.141,-0.065,0.013
729.798,-0.133,-0.063,0.000
