t_ms,vx,vy,vz
1226.448,0.036,0.042,0.175
1226.470,0.046,0.019,0.177
1226.491,0.047,0.007,0.177
1226.512,0.049,-0.016,0.177
1226.533,0.046,-0.038,0.175
1226.617,0.042,-0.058,0.172
1226.680,0.043,-0.066,0.170
1226.743,0.031,-0.082,0.167
1226.826,0.020,-0.090,0.164
1226.889,0.001,-0.100,0.161
1226.951,-0.017,-0.108,0.157
1227.034,-0.025,-0.109,0.156
1227.097,-0.034,-0.104,0.156
1227.159,-0.036,-0.093,0.157
1227.242,-0.033,-0.072,0.160
1227.304,-0.030,-0.056,0.163
1227.366,-0.031,-0.047,0.163
1227.429,-0.035,-0.034,0.164
1227.512,-0.044,-0.022,0.163
1227.574,-0.046,-0.016,0.162
1227.637,-0.050,-0.005,0.162
1227.699,-0.049,0.003,0.161
1227.781,-0.043,0.012,0.160
1227.844,-0.041,0.016,0.159
1227.906,-0.039,0.031,0.158
1227.989,-0.034,0.041,0.156
1228.052,-0.036,0.045,0.154
1228.114,-0.037,0.056,0.153
1228.176,-0.039,0.064,0.150
1228.259,-0.039,0.064,0.148
1228.322,-0.042,0.056,0.149
1228.384,-0.041,0.043,0.149
1228.447,-0.046,0.028,0.149
1228.530,-0.049,0.020,0.149
1228.592,-0.060,0.003,0.147
1228.654,-0.068,-0.016,0.145
1228.737,-0.070,-0.025,0.144
1228.799,-0.067,-0.046,0.141
1228.882,-0.063,-0.069,0.138
1228.945,-0.062,-0.082,0.135
1229.027,-0.059,-0.104,0.130
1229.090,-0.051,-0.127,0.123
1229.152,-0.044,-0.142,0.118
1229.235,-0.041,-0.152,0.115
1229.297,-0.039,-0.151,0.114
1229.360,-0.037,-0.149,0.115
1229.443,-0.036,-0.149,0.114
1229.505,-0.035,-0.147,0.115
1229.588,-0.032,-0.144,0.115
1229.651,-0.031,-0.133,0.118
1229.733,-0.027,-0.128,0.120
1229.795,-0.029,-0.121,0.121
1229.858,-0.029,-0.110,0.123
1229.941,-0.031,-0.103,0.124
1230.004,-0.035,-0.088,0.127
1230.086,-0.039,-0.070,0.130
1230.149,-0.042,-0.056,0.131
1230.211,-0.040,-0.051,0.132
1230.294,-0.035,-0.048,0.132
1230.357,-0.032,-0.043,0.132
1230.440,-0.029,-0.034,0.132
1230.502,-0.029,-0.029,0.132
1230.585,-0.027,-0.015,0.133
1230.647,-0.024,0.002,0.132
1230.730,-0.020,0.014,0.132
1230.792,-0.014,0.024,0.132
1230.855,-0.005,0.030,0.131
1230.917,-0.003,0.032,0.131
1231.000,0.006,0.037,0.131
1231.063,0.010,0.044,0.130
1231.125,0.019,0.050,0.129
1231.208,0.022,0.052,0.128
1231.270,0.028,0.054,0.127
1231.333,0.034,0.055,0.127
1231.395,0.038,0.054,0.126
1231.479,0.041,0.058,0.130
1231.542,0.044,0.061,0.129
1231.624,0.044,0.065,0.128
1231.687,0.043,0.066,0.126
1231.749,0.040,0.069,0.124
1231.832,0.036,0.072,0.123
1231.894,0.032,0.072,0.122
1231.977,0.031,0.068,0.122
1232.040,0.031,0.062,0.123
1232.123,0.030,0.059,0.123
1232.185,0.029,0.056,0.124
1232.248,0.031,0.052,0.120
1232.310,0.033,0.046,0.121
1232.393,0.034,0.038,0.126
1232.455,0.037,0.024,0.126
1232.518,0.038,0.019,0.127
1232.601,0.043,0.007,0.126
1232.663,0.049,-0.006,0.125
1232.726,0.053,-0.021,0.125
1232.809,0.052,-0.027,0.123
1232.871,0.054,-0.036,0.118
1232.933,0.055,-0.047,0.117
1233.017,0.050,-0.056,0.117
1233.079,0.048,-0.060,0.115
1233.141,0.045,-0.065,0.113
1233.224,0.038,-0.068,0.112
1233.286,0.036,-0.067,0.111
1233.349,0.035,-0.066,0.110
1233.411,0.035,-0.065,0.111
1233.494,0.033,-0.064,0.110
1233.557,0.032,-0.062,0.108
1233.619,0.030,-0.060,0.109
1233.702,0.026,-0.055,0.108
1233.765,0.024,-0.054,0.108
1233.827,0.022,-0.051,0.109
1233.910,0.015,-0.048,0.108
1233.973,0.008,-0.042,0.107
1234.056,0.006,-0.039,0.107
1234.118,-0.002,-0.037,0.106
1234.180,-0.010,-0.039,0.104
1234.264,-0.020,-0.047,0.101
1234.326,-0.030,-0.056,0.098
1234.409,-0.035,-0.059,0.095
