t_ms,vx,vy,vz
1782.964,-0.179,-0.023,0.146
1782.985,-0.168,-0.020,0.148
1783.007,-0.157,-0.011,0.152
1783.028,-0.152,-0.004,0.153
1783.091,-0.149,-0.001,0.154
1783.153,-0.142,-0.002,0.156
1783.237,-0.128,-0.005,0.159
1783.300,-0.113,-0.012,0.161
1783.363,-0.109,-0.017,0.162
1783.446,-0.104,-0.038,0.161
1783.508,-0.105,-0.057,0.158
1783.591,-0.108,-0.068,0.155
1783.654,-0.108,-0.072,0.155
1783.716,-0.109,-0.078,0.152
1783.799,-0.110,-0.084,0.150
1783.862,-0.108,-0.092,0.147
1783.945,-0.107,-0.098,0.146
1784.007,-0.105,-0.101,0.144
1784.070,-0.101,-0.107,0.142
1784.153,-0.102,-0.115,0.139
1784.216,-0.094,-0.124,0.136
1784.278,-0.088,-0.125,0.136
1784.361,-0.085,-0.121,0.135
1784.424,-0.088,-0.110,0.138
1784.486,-0.088,-0.093,0.140
1784.569,-0.090,-0.084,0.141
1784.631,-0.094,-0.063,0.144
1784.694,-0.091,-0.044,0.146
1784.777,-0.091,-0.027,0.146
1784.839,-0.090,-0.021,0.147
1784.902,-0.092,-0.006,0.146
1784.965,-0.095,0.004,0.145
1785.026,-0.095,0.009,0.145
1785.109,-0.091,0.021,0.144
1785.173,-0.086,0.034,0.143
1785.235,-0.082,0.039,0.143
1785.297,-0.071,0.052,0.142
1785.381,-0.057,0.061,0.141
1785.443,-0.044,0.070,0.141
1785.505,-0.036,0.070,0.141
1785.589,-0.031,0.072,0.140
1785.651,-0.024,0.071,0.141
1785.713,-0.022,0.070,0.140
1785.776,-0.016,0.067,0.141
1785.838,-0.010,0.062,0.142
1785.921,-0.005,0.058,0.142
1785.983,-0.001,0.050,0.143
1786.046,-0.003,0.043,0.144
1786.129,-0.008,0.040,0.143
1786.191,-0.011,0.033,0.142
1786.254,-0.006,0.030,0.143
1786.316,-0.002,0.023,0.143
1786.399,0.001,0.015,0.143
1786.462,0.006,0.005,0.142
1786.524,0.007,-0.009,0.142
1786.586,0.011,-0.017,0.142
1786.670,0.010,-0.029,0.140
1786.732,0.011,-0.035,0.139
1786.794,0.011,-0.039,0.138
1786.857,0.010,-0.044,0.135
1786.939,0.007,-0.048,0.134
1787.002,0.008,-0.049,0.133
1787.065,0.009,-0.047,0.132
1787.127,0.009,-0.043,0.132
1787.210,0.009,-0.036,0.132
1787.273,0.011,-0.031,0.132
1787.335,0.010,-0.022,0.132
1787.398,0.011,-0.012,0.132
1787.481,0.013,-0.006,0.131
1787.544,0.010,-0.002,0.131
1787.606,0.011,0.005,0.130
1787.669,0.014,0.010,0.129
1787.751,0.015,0.013,0.129
1787.814,0.017,0.013,0.128
1787.877,0.016,0.015,0.126
1787.939,0.015,0.014,0.126
1788.021,0.012,0.014,0.126
1788.084,0.011,0.013,0.125
1788.146,0.011,0.013,0.125
1788.208,0.013,0.012,0.124
1788.292,0.015,0.011,0.124
1788.354,0.016,0.012,0.124
1788.418,0.016,0.011,0.123
1788.480,0.015,0.009,0.122
1788.563,0.013,0.008,0.121
1788.625,0.006,0.001,0.121
1788.688,0.002,-0.006,0.119
1788.771,-0.002,-0.013,0.118
1788.833,-0.004,-0.016,0.117
1788.895,-0.008,-0.020,0.116
1788.958,-0.011,-0.022,0.118
1789.020,-0.012,-0.024,0.118
1789.103,-0.013,-0.030,0.113
1789.166,-0.017,-0.042,0.111
1789.228,-0.023,-0.052,0.108
1789.291,-0.026,-0.056,0.106
1789.374,-0.029,-0.061,0.103
1789.437,-0.026,-0.063,0.103
1789.499,-0.026,-0.063,0.102
1789.582,-0.027,-0.061,0.101
1789.645,-0.028,-0.058,0.101
1789.707,-0.028,-0.057,0.101
1789.770,-0.029,-0.053,0.100
1789.853,-0.028,-0.048,0.101
1789.915,-0.019,-0.040,0.102
1789.978,-0.021,-0.035,0.102
1790.040,-0.024,-0.026,0.103
1790.123,-0.023,-0.018,0.103
1790.186,-0.016,-0.014,0.127
1790.248,-0.016,-0.010,0.127
1790.331,-0.014,-0.006,0.126
1790.394,-0.013,-0.005,0.125
1790.456,-0.014,-0.002,0.125
1790.519,-0.016,0.001,0.123
1790.581,-0.018,0.001,0.122
1790.665,-0.017,0.001,0.120
1790.727,-0.019,-0.002,0.119
1790.789,-0.021,-0.005,0.117
1790.872,-0.022,-0.005,0.116
1790.935,-0.026,-0.005,0.116
1790.997,-0.029,-0.002,0.114
1791.060,-0.030,-0.002,0.113
1791.143,-0.030,-0.003,0.113
1791.205,-0.027,-0.005,0.110
1791.267,-0.025,-0.005,0.109
1791.330,-0.028,-0.005,0.108
1791.392,-0.029,-0.005,0.107
1791.454,-0.029,-0.002,0.107
1791.538,-0.028,-0.002,0.105
1791.600,-0.025,-0.001,0.104
1791.663,-0.018,-0.003,0.103
1791.725,-0.020,-0.005,0.103
1791.807,-0.014,-0.006,0.102
1791.870,-0.009,-0.007,0.102
1791.932,-0.008,-0.008,0.102
1792.015,-0.000,-0.010,0.102
1792.078,0.005,-0.012,0.102
1792.141,0.007,-0.012,0.102
1792.203,0.008,-0.014,0.101
1792.265,0.012,-0.011,0.099
1792.348,0.017,-0.009,0.100
1792.410,0.016,-0.004,0.100
1792.473,0.020,0.002,0.099
1792.535,0.027,0.011,0.099
1792.598,0.029,0.014,0.098
1792.661,0.030,0.021,0.097
1792.743,0.033,0.022,0.097
1792.806,0.036,0.026,0.096
1792.869,0.037,0.034,0.101
1792.931,0.038,0.036,0.101
1792.993,0.041,0.034,0.093
1793.055,0.041,0.028,0.095
1793.118,0.046,0.026,0.092
1793.201,0.050,0.026,0.091
1793.263,0.054,0.029,0.092
1793.325,0.054,0.033,0.091
1793.388,0.055,0.036,0.087
1793.451,0.056,0.038,0.087
1793.513,0.057,0.039,0.086
1793.576,0.058,0.037,0.085
1793.659,0.059,0.036,0.085
1793.721,0.122,0.071,0.084
1793.783,0.125,0.069,0.084
1793.846,0.121,0.069,0.084
