t_ms,vx,vy,vz
745.199,0.000,0.000,0.000
745.221,0.000,0.000,0.000
745.242,0.012,-0.342,0.055
745.264,0.000,0.000,0.000
745.285,0.000,0.000,0.000
745.306,0.000,0.000,0.000
745.328,-0.169,-0.283,0.066
745.349,-0.200,-0.276,0.065
745.370,0.000,0.000,0.000
745.391,0.000,0.000,0.000
745.413,0.000,0.000,0.000
745.434,0.000,0.000,0.000
745.456,-0.429,-0.170,0.053
745.477,0.000,0.000,0.000
745.498,0.000,0.000,0.000
745.519,0.000,0.000,0.000
745.541,0.000,0.000,0.000
745.562,-0.623,-0.014,0.022
745.583,-0.651,0.010,0.016
745.604,0.000,0.000,0.000
745.625,0.000,0.000,0.000
745.647,0.000,0.000,0.000
745.668,0.000,0.000,0.000
745.689,0.000,0.000,0.000
745.711,0.000,0.000,0.000
745.732,0.000,0.000,0.000
745.753,0.000,0.000,0.000
745.775,0.000,0.000,0.000
745.796,0.000,0.000,0.000
745.817,0.000,0.000,0.000
745.838,0.000,0.000,0.000
745.860,0.000,0.000,0.000
745.881,0.000,0.000,0.000
745.902,0.000,0.000,0.000
745.944,0.000,0.000,0.000
745.986,0.000,0.000,0.000
746.049,0.000,0.000,0.000
746.112,0.000,0.000,0.000
746.174,0.000,0.000,0.000
746.216,0.000,0.000,0.000
746.279,0.000,0.000,0.000
746.341,0.000,0.000,0.000
746.383,0.000,0.000,0.000
746.446,0.000,0.000,0.000
746.509,0.000,0.000,0.000
746.571,0.000,0.000,0.000
746.634,0.000,0.000,0.000
746.676,0.000,0.000,0.000
746.739,0.000,0.000,0.000
746.801,0.000,0.000,0.000
746.864,0.000,0.000,0.000
746.927,0.000,0.000,0.000
746.990,0.000,0.000,0.000
747.032,0.000,0.000,0.000
747.094,0.000,0.000,0.000
747.157,0.000,0.000,0.000
747.220,0.000,0.000,0.000
747.282,0.000,0.000,0.000
747.324,0.000,0.000,0.000
747.387,0.000,0.000,0.000
747.449,0.000,0.000,0.000
747.512,0.000,0.000,0.000
747.554,0.000,0.000,0.000
747.617,0.000,0.000,0.000
747.680,0.000,0.000,0.000
747.722,0.000,0.000,0.000
747.784,0.000,0.000,0.000
747.848,0.000,0.000,0.000
747.890,0.000,0.000,0.000
747.953,0.000,0.000,0.000
748.015,0.000,0.000,0.000
748.058,0.000,0.000,0.000
748.120,0.000,0.000,0.000
748.183,0.000,0.000,0.000
748.246,0.000,0.000,0.000
748.288,0.000,0.000,0.000
748.351,0.000,0.000,0.000
748.413,0.000,0.000,0.000
748.455,0.000,0.000,0.000
748.518,0.000,0.000,0.000
748.580,0.000,0.000,0.000
748.643,0.000,0.000,0.000
748.685,0.000,0.000,0.000
748.748,0.000,0.000,0.000
748.810,0.000,0.000,0.000
748.873,0.000,0.000,0.000
748.936,0.000,0.000,0.000
748.998,0.000,0.000,0.000
749.061,0.000,0.000,0.000
749.123,0.000,0.000,0.000
749.186,0.000,0.000,0.000
749.248,0.000,0.000,0.000
749.289,0.000,0.000,0.000
749.352,0.000,0.000,0.000
749.414,0.550,-0.359,0.014
749.476,0.000,0.000,0.000
749.538,0.000,0.000,0.000
749.580,0.000,0.000,0.000
749.642,0.000,0.000,0.000
749.705,0.336,-0.449,0.009
749.767,0.000,0.000,0.000
749.809,0.000,0.000,0.000
749.871,0.000,0.000,0.000
749.933,0.000,0.000,0.000
749.975,0.000,0.000,0.000
750.037,0.000,0.000,0.000
750.100,0.000,0.000,0.000
750.162,0.000,0.000,0.000
750.204,0.000,0.000,0.000
750.266,0.000,0.000,0.000
750.328,0.000,0.000,0.000
750.370,0.000,0.000,0.000
750.433,0.000,0.000,0.000
750.495,0.000,0.000,0.000
750.557,-0.569,-0.452,0.000
750.619,-0.597,-0.440,0.000
750.682,-0.636,-0.430,0.000
750.745,-0.695,-0.394,0.000
750.807,-0.706,-0.372,0.000
750.869,0.000,0.000,0.000
750.911,0.000,0.000,0.000
750.973,0.000,0.000,0.000
751.036,0.000,0.000,0.000
751.078,0.000,0.000,0.000
751.140,0.000,0.000,0.000
751.203,0.000,0.000,0.000
751.244,0.000,0.000,0.000
751.307,0.000,0.000,0.000
751.369,0.000,0.000,0.000
751.431,0.000,0.000,0.000
751.473,0.000,0.000,0.000
751.535,0.000,0.000,0.000
751.598,0.000,0.000,0.000
751.659,0.000,0.000,0.000
751.702,0.000,0.000,0.000
751.764,0.000,0.000,0.000
751.826,0.000,0.000,0.000
751.888,0.000,0.000,0.000
751.951,0.000,0.000,0.000
752.013,0.000,0.000,0.000
752.075,0.000,0.000,0.000
752.138,0.000,0.000,0.000
752.201,0.000,0.000,0.000
752.263,0.000,0.000,0.000
752.325,0.000,0.000,0.000
752.387,0.000,0.000,0.000
752.449,0.000,0.000,0.000
752.511,0.000,0.000,0.000
752.574,0.000,0.000,0.000
752.636,0.000,0.000,0.000
752.699,0.000,0.000,0.000
752.761,0.000,0.000,0.000
752.823,0.000,0.000,0.000
752.886,0.000,0.000,0.000
752.948,0.000,0.000,0.000
752.990,0.000,0.000,0.000
753.073,0.000,0.000,0.000
753.115,0.000,0.000,0.000
753.177,0.000,0.000,0.000
753.239,0.000,0.000,0.000
753.302,0.000,0.000,0.000
753.364,0.000,0.000,0.000
753.426,0.000,0.000,0.000
753.489,0.000,0.000,0.000
753.551,0.000,0.000,0.000
753.613,0.000,0.000,0.000
753.655,0.000,0.000,0.000
753.718,0.000,0.000,0.000
753.780,0.000,0.000,0.000
753.843,0.000,0.000,0.000
753.905,0.000,0.000,0.000
753.947,0.000,0.000,0.000
754.010,0.000,0.000,0.000
754.072,0.000,0.000,0.000
754.134,0.000,0.000,0.000
754.197,0.000,0.000,0.000
754.238,0.000,0.000,0.000
754.301,0.000,0.000,0.000
754.363,0.000,0.000,0.000
754.425,0.000,0.000,0.000
754.488,0.000,0.000,0.000
754.550,0.000,0.000,0.000
754.592,0.000,0.000,0.000
754.654,0.000,0.000,0.000
754.716,0.000,0.000,0.000
754.779,0.000,0.000,0.000
754.841,0.000,0.000,0.000
754.883,0.000,0.000,0.000
754.945,0.000,0.000,0.000
755.007,0.000,0.000,0.000
755.070,0.000,0.000,0.000
755.133,0.000,0.000,0.000
755.195,0.000,0.000,0.000
755.257,0.000,0.000,0.000
755.299,0.000,0.000,0.000
755.361,0.000,0.000,0.000
755.424,0.000,0.000,0.000
755.486,0.000,0.000,0.000
755.527,0.000,0.000,0.000
755.590,0.000,0.000,0.000
755.653,0.000,0.000,0.000
755.715,0.000,0.000,0.000
755.778,0.000,0.000,0.000
755.819,0.000,0.000,0.000
755.882,0.000,0.000,0.000
755.944,-0.282,0.136,0.096
756.007,-0.310,0.129,0.086
756.069,-0.399,0.120,0.063
756.131,-0.432,0.112,0.050
756.194,-0.457,0.110,0.037
756.256,0.000,0.000,0.000
756.319,0.000,0.000,0.000
756.360,0.000,0.000,0.000
756.423,0.000,0.000,0.000
756.486,0.000,0.000,0.000
756.547,0.000,0.000,0.000
756.589,0.000,0.000,0.000
756.651,0.000,0.000,0.000
756.714,0.000,0.000,0.000
756.776,0.000,0.000,0.000
756.818,0.000,0.000,0.000
756.880,0.000,0.000,0.000
756.943,0.000,0.000,0.000
756.984,0.000,0.000,0.000
757.047,0.000,0.000,0.000
757.110,0.000,0.000,0.000
757.152,0.000,0.000,0.000
757.214,0.000,0.000,0.000
757.276,0.000,0.000,0.000
757.318,0.000,0.000,0.000
757.380,0.000,0.000,0.000
757.442,0.000,0.000,0.000
757.484,0.000,0.000,0.000
757.547,0.000,0.000,0.000
757.588,0.000,0.000,0.000
757.650,0.000,0.000,0.000
757.713,0.000,0.000,0.000
757.755,0.000,0.000,0.000
757.817,0.000,0.000,0.000
757.859,0.000,0.000,0.000
757.921,0.000,0.000,0.000
757.963,0.000,0.000,0.000
758.026,0.000,0.000,0.000
758.068,0.000,0.000,0.000
758.130,0.000,0.000,0.000
758.172,0.000,0.000,0.000
758.234,0.000,0.000,0.000
758.276,0.000,0.000,0.000
758.318,0.000,0.000,0.000
758.380,0.000,0.000,0.000
758.422,0.000,0.000,0.000
758.484,0.000,0.000,0.000
758.526,0.000,0.000,0.000
758.588,0.000,0.000,0.000
758.650,0.000,0.000,0.000
758.693,0.000,0.000,0.000
758.755,0.000,0.000,0.000
758.797,0.000,0.000,0.000
758.839,0.000,0.000,0.000
758.901,0.000,0.000,0.000
758.943,0.000,0.000,0.000
759.005,0.000,0.000,0.000
759.047,0.000,0.000,0.000
759.109,0.000,0.000,0.000
759.151,0.000,0.000,0.000
759.213,0.000,0.000,0.000
759.255,0.000,0.000,0.000
759.297,0.000,0.000,0.000
759.339,0.000,0.000,0.000
759.401,0.000,0.000,0.000
759.442,0.000,0.000,0.000
759.484,0.000,0.000,0.000
759.526,0.000,0.000,0.000
759.589,0.000,0.000,0.000
759.630,0.000,0.000,0.000
759.672,0.000,0.000,0.000
759.714,0.000,0.000,0.000
759.756,0.000,0.000,0.000
759.818,0.000,0.000,0.000
759.859,0.000,0.000,0.000
759.901,0.000,0.000,0.000
759.943,0.000,0.000,0.000
759.985,0.000,0.000,0.000
760.048,0.000,0.000,0.000
760.090,0.000,0.000,0.000
760.131,0.000,0.000,0.000
760.194,0.000,0.000,0.000
760.235,0.000,0.000,0.000
760.277,0.000,0.000,0.000
760.339,0.000,0.000,0.000
760.381,0.000,0.000,0.000
760.423,0.000,0.000,0.000
760.465,0.000,0.000,0.000
760.507,0.000,0.000,0.000
760.569,0.000,0.000,0.000
760.611,0.000,0.000,0.000
760.653,0.000,0.000,0.000
760.695,0.000,0.000,0.000
760.757,0.000,0.000,0.000
760.798,0.000,0.000,0.000
760.840,0.000,0.000,0.000
760.882,0.000,0.000,0.000
760.923,0.000,0.000,0.000
760.986,0.000,0.000,0.000
761.027,0.000,0.000,0.000
761.069,0.000,0.000,0.000
761.111,0.000,0.000,0.000
761.174,0.000,0.000,0.000
761.215,0.000,0.000,0.000
761.257,0.000,0.000,0.000
761.299,0.000,0.000,0.000
761.361,0.000,0.000,0.000
761.402,0.000,0.000,0.000
761.444,0.000,0.000,0.000
761.486,0.000,0.000,0.000
761.548,0.000,0.000,0.000
761.590,0.000,0.000,0.000
761.631,0.000,0.000,0.000
761.693,0.000,0.000,0.000
761.734,0.000,0.000,0.000
761.777,0.000,0.000,0.000
761.818,0.000,0.000,0.000
761.881,0.000,0.000,0.000
761.922,0.000,0.000,0.000
761.964,0.000,0.000,0.000
762.026,0.000,0.000,0.000
762.068,0.000,0.000,0.000
762.110,0.000,0.000,0.000
762.151,0.000,0.000,0.000
762.214,0.000,0.000,0.000
762.255,0.000,0.000,0.000
762.297,0.000,0.000,0.000
762.338,0.000,0.000,0.000
762.401,0.000,0.000,0.000
762.442,0.000,0.000,0.000
762.484,0.000,0.000,0.000
762.526,0.000,0.000,0.000
762.589,0.000,0.000,0.000
762.630,0.000,0.000,0.000
762.672,0.000,0.000,0.000
762.734,0.000,0.000,0.000
762.776,0.000,0.000,0.000
762.818,0.000,0.000,0.000
762.880,0.000,0.000,0.000
762.921,0.000,0.000,0.000
762.984,0.000,0.000,0.000
763.025,0.000,0.000,0.000
763.067,0.000,0.000,0.000
763.129,0.000,0.000,0.000
763.171,0.000,0.000,0.000
763.234,0.000,0.000,0.000
763.275,0.000,0.000,0.000
763.317,0.000,0.000,0.000
763.379,0.000,0.000,0.000
763.421,0.000,0.000,0.000
763.463,0.000,0.000,0.000
763.505,0.000,0.000,0.000
763.567,0.000,0.000,0.000
