Connecting to /dev/serial/by-id/usb-ArduPilot_Pixhawk6X_49002D001551333034383239-if00 @ 57600...
HEARTBEAT received: 1, 0
t_ms,ch6,alt,lat,lon,roll,pitch,yaw
235,1000,0.289,21.0479074,105.7856255,0.8,0.8,-6.9
338,1000,0.283,21.0479074,105.7856254,0.8,0.8,-6.9
440,1000,0.279,21.0479073,105.7856254,0.8,0.8,-6.9
522,1000,0.277,21.0479074,105.7856254,0.8,0.8,-6.9
624,1000,0.276,21.0479074,105.7856254,0.8,0.8,-6.9
727,1000,0.277,21.0479074,105.7856254,0.8,0.8,-6.9
829,1000,0.277,21.0479074,105.7856254,0.8,0.8,-6.9
932,1000,0.28,21.0479074,105.7856254,0.8,0.8,-6.9
1034,1000,0.283,21.0479074,105.7856254,0.8,0.8,-7.0
1137,1000,0.284,21.0479074,105.7856254,0.8,0.8,-7.0
1239,1000,0.287,21.0479075,105.7856254,0.8,0.8,-7.0
1342,1000,0.288,21.0479075,105.7856254,0.8,0.8,-7.0
1424,1000,0.289,21.0479075,105.7856254,0.8,0.8,-7.0
1526,1000,0.025,21.0479075,105.7856254,0.8,0.8,-7.0
1628,1000,0.035,21.0479075,105.7856254,0.8,0.8,-7.0
1730,1000,0.044,21.0479075,105.7856253,0.8,0.8,-7.0
1833,1000,0.046,21.0479075,105.7856253,0.8,0.8,-7.0
1935,1000,0.048,21.0479075,105.7856253,0.8,0.8,-7.0
2038,1000,0.05,21.0479075,105.7856252,0.8,0.8,-7.0
2140,1000,0.05,21.0479075,105.7856252,0.8,0.8,-7.0
2222,1000,0.051,21.0479076,105.7856251,0.8,0.8,-7.0
2324,1000,0.051,21.0479076,105.7856251,0.8,0.8,-7.0
2427,1000,0.052,21.0479076,105.7856251,0.8,0.8,-7.0
2529,1000,0.052,21.0479076,105.785625,0.8,0.8,-7.0
2631,1000,0.053,21.0479076,105.785625,0.8,0.8,-7.0
2733,1000,0.053,21.0479076,105.7856249,0.8,0.8,-7.0
2836,1000,0.053,21.0479076,105.7856249,0.8,0.8,-7.0
2938,1000,0.053,21.0479077,105.7856249,0.8,0.8,-7.0
3040,1000,0.053,21.0479077,105.7856248,0.8,0.8,-7.0
3142,1000,0.053,21.0479077,105.7856248,0.8,0.8,-7.0
3224,1000,0.053,21.0479077,105.7856248,0.8,0.8,-7.0
3326,1000,0.053,21.0479077,105.7856247,0.8,0.8,-7.0
3429,1000,0.053,21.0479077,105.7856247,0.8,0.8,-7.0
