Connecting to /dev/serial/by-id/usb-ArduPilot_Pixhawk6X_49002D001551333034383239-if00 @ 57600...
HEARTBEAT received: 1, 0
t_ms,ch6,alt,lat,lon,roll,pitch,yaw
226,1000,0.45,21.0479304,105.7855637,0.7,0.6,-11.7
328,1000,0.45,21.0479304,105.7855637,0.7,0.6,-11.7
430,1000,0.45,21.0479304,105.7855637,0.8,0.6,-11.7
532,1000,0.449,21.0479304,105.7855637,0.8,0.6,-11.7
634,1000,0.448,21.0479304,105.7855637,0.8,0.6,-11.7
736,1000,0.445,21.0479304,105.7855637,0.7,0.6,-11.7
839,1000,0.442,21.0479304,105.7855638,0.7,0.6,-11.7
941,1000,0.444,21.0479304,105.7855638,0.7,0.6,-11.7
1023,1000,0.446,21.0479304,105.7855638,0.7,0.6,-11.7
1145,1000,0.448,21.0479304,105.7855638,0.7,0.6,-11.7
1227,1000,0.45,21.0479304,105.7855638,0.7,0.6,-11.7
1330,1000,0.45,21.0479304,105.7855638,0.7,0.6,-11.7
1432,1000,0.45,21.0479304,105.7855638,0.7,0.6,-11.7
1534,1000,0.031,21.0479304,105.7855638,0.7,0.6,-11.7
1636,1000,0.052,21.0479304,105.7855638,0.7,0.6,-11.7
1738,1000,0.055,21.0479304,105.7855638,0.7,0.6,-11.7
1840,1000,0.058,21.0479304,105.7855639,0.7,0.6,-11.7
1943,1000,0.061,21.0479304,105.7855639,0.7,0.6,-11.7
2045,1000,0.061,21.0479304,105.7855639,0.7,0.6,-11.7
2127,1000,0.061,21.0479304,105.7855639,0.8,0.6,-11.7
2230,1000,0.062,21.0479305,105.7855639,0.8,0.6,-11.7
2332,1000,0.062,21.0479305,105.7855639,0.8,0.6,-11.7
2434,1000,0.062,21.0479305,105.7855639,0.8,0.6,-11.7
2536,1000,0.062,21.0479305,105.785564,0.8,0.6,-11.7
2638,1000,0.062,21.0479305,105.785564,0.8,0.6,-11.7
2740,1000,0.062,21.0479305,105.785564,0.8,0.6,-11.7
2842,1000,0.062,21.0479306,105.785564,0.8,0.6,-11.7
2925,1000,0.062,21.0479306,105.785564,0.8,0.6,-11.7
3027,1000,0.062,21.0479306,105.785564,0.7,0.6,-11.7
3130,1000,0.062,21.0479306,105.785564,0.7,0.6,-11.7
3232,1000,0.062,21.0479306,105.785564,0.8,0.6,-11.7
3334,1000,0.062,21.0479306,105.7855641,0.8,0.6,-11.7
3435,1000,0.061,21.0479306,105.7855641,0.8,0.6,-11.7
3537,1000,0.061,21.0479306,105.7855641,0.8,0.6,-11.7
3639,1000,0.061,21.0479306,105.7855641,0.8,0.6,-11.7
3740,1000,0.061,21.0479306,105.7855641,0.7,0.6,-11.7
3842,1000,0.061,21.0479306,105.7855641,0.8,0.6,-11.7
3924,1000,0.061,21.0479306,105.7855641,0.8,0.6,-11.7
4026,1000,0.061,21.0479306,105.7855642,0.8,0.6,-11.7
4128,1000,0.061,21.0479306,105.7855642,0.8,0.6,-11.7
4230,1000,0.061,21.0479306,105.7855642,0.8,0.6,-11.7
4333,1000,0.061,21.0479306,105.7855643,0.8,0.6,-11.7
4435,1000,0.061,21.0479306,105.7855643,0.8,0.6,-11.7
4538,1000,0.061,21.0479306,105.7855643,0.8,0.6,-11.7
4640,1000,0.061,21.0479306,105.7855643,0.8,0.6,-11.7
4742,1000,0.061,21.0479306,105.7855644,0.8,0.6,-11.7
4845,1000,0.06,21.0479306,105.7855644,0.8,0.6,-11.7
4927,1000,0.06,21.0479306,105.7855644,0.8,0.6,-11.7
5029,1000,0.06,21.0479307,105.7855644,0.8,0.6,-11.7
5132,1000,0.06,21.0479307,105.7855644,0.8,0.6,-11.8
5234,1000,0.06,21.0479307,105.7855644,0.8,0.6,-11.8
5337,1000,0.06,21.0479307,105.7855644,0.7,0.6,-11.8
5439,1000,0.061,21.0479307,105.7855644,0.7,0.6,-11.8
5541,1000,0.061,21.0479307,105.7855644,0.7,0.6,-11.8
5644,1000,0.061,21.0479307,105.7855644,0.7,0.6,-11.8
5726,1000,0.061,21.0479307,105.7855644,0.7,0.6,-11.8
5829,1000,0.061,21.0479307,105.7855644,0.7,0.6,-11.8
5931,1000,0.061,21.0479307,105.7855644,0.7,0.6,-11.8
6034,1000,0.061,21.0479307,105.7855644,0.7,0.6,-11.8
6136,1000,0.061,21.0479307,105.7855645,0.7,0.6,-11.8
6239,1000,0.061,21.0479307,105.7855645,0.7,0.6,-11.8
6341,1000,0.061,21.0479307,105.7855645,0.7,0.6,-11.8
6443,1000,0.061,21.0479307,105.7855646,0.7,0.6,-11.8
6525,1000,0.061,21.0479307,105.7855646,0.7,0.6,-11.8
6628,1000,0.061,21.0479307,105.7855646,0.8,0.6,-11.8
6730,1000,0.061,21.0479307,105.7855647,0.8,0.6,-11.8
6832,1000,0.061,21.0479307,105.7855647,0.8,0.6,-11.8
6935,1000,0.061,21.0479307,105.7855647,0.8,0.6,-11.8
7038,1000,0.061,21.0479307,105.7855648,0.8,0.6,-11.8
7140,1000,0.061,21.0479307,105.7855648,0.8,0.6,-11.8
7242,1000,0.061,21.0479307,105.7855649,0.7,0.6,-11.8
7325,1000,0.061,21.0479307,105.7855649,0.7,0.6,-11.8
7427,1000,0.061,21.0479307,105.7855649,0.7,0.6,-11.8
7530,1000,0.061,21.0479307,105.7855649,0.7,0.6,-11.8
7632,1000,0.06,21.0479307,105.7855649,0.7,0.6,-11.8
7734,1000,0.06,21.0479307,105.785565,0.7,0.6,-11.8
7836,1000,0.06,21.0479307,105.785565,0.7,0.6,-11.8
7939,1000,0.06,21.0479307,105.785565,0.7,0.6,-11.8
8041,1000,0.06,21.0479307,105.785565,0.7,0.6,-11.8
8143,1000,0.06,21.0479307,105.7855651,0.7,0.6,-11.9
8226,1000,0.06,21.0479307,105.7855651,0.7,0.6,-11.8
8328,1000,0.06,21.0479307,105.7855651,0.7,0.6,-11.8
8430,1000,0.06,21.0479307,105.7855651,0.7,0.6,-11.8
8533,1000,0.06,21.0479307,105.7855652,0.7,0.6,-11.8
8635,1000,0.06,21.0479307,105.7855652,0.7,0.6,-11.8
8738,1000,0.06,21.0479307,105.7855652,0.7,0.6,-11.8
8840,1000,0.06,21.0479306,105.7855652,0.7,0.6,-11.8
8943,1000,0.06,21.0479306,105.7855653,0.7,0.6,-11.8
9045,1000,0.06,21.0479307,105.7855653,0.7,0.6,-11.8
9127,1000,0.06,21.0479307,105.7855653,0.7,0.6,-11.8
9229,1000,0.06,21.0479307,105.7855653,0.7,0.6,-11.8
9332,1000,0.06,21.0479307,105.7855653,0.7,0.6,-11.8
9434,1000,0.06,21.0479307,105.7855653,0.7,0.6,-11.9
9536,1000,0.06,21.0479307,105.7855653,0.7,0.6,-11.9
9639,1000,0.06,21.0479307,105.7855653,0.7,0.6,-11.9
9741,1000,0.06,21.0479307,105.7855654,0.7,0.6,-11.9
9844,1000,0.06,21.0479307,105.7855654,0.7,0.6,-11.9
9926,1000,0.06,21.0479307,105.7855654,0.7,0.6,-11.9
10028,1000,0.06,21.0479307,105.7855654,0.7,0.6,-11.9
10131,1000,0.06,21.0479307,105.7855654,0.7,0.6,-11.9
10233,1000,0.06,21.0479307,105.7855654,0.7,0.6,-11.9
10336,1000,0.06,21.0479307,105.7855655,0.7,0.6,-11.9
10438,1000,0.06,21.0479307,105.7855655,0.7,0.6,-11.9
10541,1000,0.06,21.0479307,105.7855655,0.7,0.6,-11.9
10643,1000,0.06,21.0479307,105.7855655,0.7,0.6,-11.9
10725,1000,0.06,21.0479307,105.7855655,0.7,0.6,-11.9
10828,1000,0.06,21.0479307,105.7855655,0.7,0.6,-11.9
10931,1000,0.06,21.0479307,105.7855655,0.7,0.6,-11.9
11033,1000,0.06,21.0479307,105.7855655,0.7,0.6,-11.9
11135,1000,0.06,21.0479307,105.7855655,0.7,0.6,-11.9
11237,1000,0.06,21.0479307,105.7855655,0.7,0.6,-11.9
11340,1000,0.06,21.0479307,105.7855655,0.7,0.6,-11.9
11443,1000,0.06,21.0479307,105.7855656,0.7,0.6,-11.9
11524,1000,0.06,21.0479307,105.7855656,0.7,0.6,-11.9
11627,1000,0.06,21.0479307,105.7855656,0.7,0.6,-11.9
11729,1000,0.06,21.0479307,105.7855656,0.7,0.6,-11.9
11832,1000,0.06,21.0479307,105.7855656,0.7,0.6,-11.9
11934,1000,0.06,21.0479307,105.7855656,0.7,0.6,-11.9
12036,1000,0.06,21.0479307,105.7855656,0.7,0.6,-11.9
12139,1000,0.06,21.0479307,105.7855657,0.7,0.6,-11.9
12241,1000,0.06,21.0479307,105.7855657,0.7,0.6,-11.9
12324,1000,0.06,21.0479307,105.7855657,0.7,0.6,-11.9
12426,1000,0.06,21.0479307,105.7855657,0.7,0.6,-11.9
12529,1000,0.06,21.0479307,105.7855657,0.7,0.6,-11.9
12631,1000,0.06,21.0479307,105.7855658,0.8,0.6,-11.9
12733,1000,0.06,21.0479307,105.7855658,0.8,0.6,-11.9
12836,1000,0.06,21.0479307,105.7855659,0.8,0.6,-11.9
12938,1000,0.06,21.0479307,105.7855659,0.8,0.6,-11.9
13041,1000,0.06,21.0479307,105.785566,0.8,0.6,-11.9
13143,1000,0.06,21.0479307,105.785566,0.8,0.6,-11.9
13225,1000,0.06,21.0479307,105.785566,0.8,0.6,-12.0
13328,1000,0.06,21.0479307,105.785566,0.8,0.6,-12.0
13431,1000,0.06,21.0479307,105.7855661,0.8,0.6,-12.0
13533,1000,0.06,21.0479308,105.7855661,0.8,0.6,-12.0
13635,1000,0.061,21.0479308,105.7855661,0.8,0.6,-12.0
13737,1000,0.061,21.0479308,105.7855661,0.8,0.6,-12.0
13840,1000,0.061,21.0479309,105.7855661,0.8,0.6,-12.0
13942,1000,0.061,21.0479309,105.7855661,0.8,0.6,-12.0
14044,1000,0.061,21.0479309,105.7855661,0.8,0.6,-12.0
14126,1000,0.061,21.047931,105.7855661,0.8,0.6,-12.0
14229,1000,0.061,21.047931,105.7855661,0.8,0.6,-12.0
14331,1000,0.061,21.047931,105.7855661,0.7,0.6,-12.0
14433,1000,0.061,21.047931,105.7855661,0.7,0.6,-12.0
14536,1000,0.061,21.0479311,105.7855662,0.8,0.6,-12.0
14638,1000,0.061,21.0479311,105.7855662,0.8,0.6,-12.0
14740,1000,0.061,21.0479311,105.7855662,0.7,0.6,-12.0
14843,1000,0.061,21.0479311,105.7855662,0.8,0.6,-12.0
14925,1000,0.061,21.0479312,105.7855663,0.8,0.6,-12.0
15028,1000,0.061,21.0479312,105.7855663,0.8,0.6,-12.0
15130,1000,0.061,21.0479312,105.7855663,0.8,0.6,-12.0
15233,1000,0.061,21.0479312,105.7855663,0.8,0.6,-12.0
15335,1000,0.061,21.0479313,105.7855663,0.7,0.6,-12.0
15437,1000,0.061,21.0479313,105.7855663,0.8,0.6,-12.0
Setting mode GUIDED...
Mode = GUIDED
15627,1000,0.061,21.0479315,105.7855664,0.8,0.6,-12.0
15731,1000,0.061,21.0479315,105.7855664,0.8,0.6,-12.0
15832,1000,0.061,21.0479316,105.7855664,0.8,0.6,-12.0
15934,1000,0.061,21.0479316,105.7855664,0.7,0.6,-12.0
16035,1000,0.061,21.0479316,105.7855664,0.7,0.6,-12.0
16137,1000,0.061,21.0479317,105.7855664,0.7,0.6,-12.0
16238,1000,0.061,21.0479317,105.7855664,0.7,0.6,-12.0
16340,1000,0.061,21.0479317,105.7855664,0.7,0.6,-12.0
16441,1000,0.061,21.0479318,105.7855664,0.7,0.6,-12.0
16523,1000,0.061,21.0479318,105.7855664,0.7,0.6,-12.0
16644,1000,0.061,21.0479319,105.7855664,0.7,0.6,-12.1
16726,1000,0.061,21.0479319,105.7855665,0.7,0.6,-12.1
16827,1000,0.061,21.047932,105.7855665,0.7,0.6,-12.1
16929,1000,0.061,21.047932,105.7855665,0.7,0.6,-12.1
17030,1000,0.061,21.0479321,105.7855665,0.7,0.6,-12.1
17132,1000,0.061,21.0479321,105.7855665,0.7,0.6,-12.1
17233,1000,0.061,21.0479322,105.7855666,0.7,0.6,-12.1
17335,1000,0.061,21.0479322,105.7855666,0.7,0.6,-12.1
17436,1000,0.062,21.0479323,105.7855666,0.7,0.6,-12.1
17538,1000,0.062,21.0479324,105.7855667,0.7,0.6,-12.1
17639,1000,0.062,21.0479324,105.7855667,0.7,0.6,-12.1
17741,1000,0.062,21.0479324,105.7855667,0.7,0.6,-12.1
17842,1000,0.062,21.0479325,105.7855668,0.7,0.6,-12.1
17924,1000,0.062,21.0479325,105.7855668,0.8,0.6,-12.1
18025,1000,0.062,21.0479326,105.7855669,0.8,0.6,-12.1
18127,1000,0.062,21.0479327,105.7855669,0.8,0.6,-12.1
18228,1000,0.062,21.0479327,105.7855669,0.8,0.6,-12.0
18330,1000,0.062,21.0479328,105.785567,0.8,0.6,-12.0
18431,1000,0.062,21.0479329,105.785567,0.8,0.6,-12.0
18533,1000,0.063,21.047933,105.785567,0.8,0.6,-12.0
18634,1000,0.063,21.0479331,105.7855671,0.8,0.6,-12.1
18736,1000,0.063,21.0479331,105.7855671,0.8,0.6,-12.1
18838,1000,0.063,21.0479332,105.7855671,0.8,0.6,-12.1
18940,1000,0.063,21.0479333,105.7855672,0.8,0.6,-12.1
19041,1000,0.063,21.0479334,105.7855672,0.8,0.6,-12.1
19143,1000,0.063,21.0479335,105.7855673,0.8,0.6,-12.1
19244,1000,0.063,21.0479336,105.7855673,0.8,0.6,-12.1
19325,1000,0.063,21.0479337,105.7855673,0.8,0.6,-12.1
19427,1000,0.063,21.0479337,105.7855674,0.8,0.6,-12.1
19529,1000,0.063,21.0479338,105.7855674,0.8,0.6,-12.1
19630,1000,0.063,21.0479339,105.7855674,0.8,0.6,-12.1
19732,1000,0.063,21.0479339,105.7855675,0.8,0.6,-12.1
19833,2000,0.063,21.047934,105.7855675,0.8,0.6,-12.1
Arming motors...
Armed
Takeoff to 2.5 m...
20949,2000,0.063,21.0479346,105.785568,0.8,0.6,-12.0
21051,2000,0.063,21.0479346,105.785568,0.8,0.6,-12.0
21152,2000,0.063,21.0479347,105.7855681,0.8,0.6,-12.0
21254,2000,0.063,21.0479347,105.7855681,0.8,0.6,-12.0
21356,2000,0.063,21.0479347,105.7855681,0.8,0.6,-12.0
21458,2000,0.063,21.0479348,105.7855682,0.8,0.6,-12.0
21560,2000,0.063,21.0479348,105.7855682,0.8,0.6,-12.0
21662,2000,0.063,21.0479348,105.7855683,0.8,0.6,-12.0
21744,2000,0.063,21.0479348,105.7855683,0.8,0.6,-12.1
21846,2000,0.063,21.0479348,105.7855683,0.8,0.6,-12.1
21948,2000,0.063,21.0479348,105.7855684,0.7,0.6,-12.1
22050,2000,0.063,21.0479348,105.7855684,0.7,0.6,-12.1
22153,2000,0.063,21.0479347,105.7855684,0.7,0.6,-12.1
22255,2000,0.063,21.0479347,105.7855684,0.7,0.6,-12.1
22357,2000,0.063,21.0479347,105.7855685,0.7,0.6,-12.1
22459,2000,0.063,21.0479347,105.7855685,0.7,0.6,-12.1
22561,2000,0.063,21.0479347,105.7855685,0.7,0.6,-12.1
22663,2000,0.063,21.0479347,105.7855686,0.8,0.6,-12.1
22745,2000,0.063,21.0479347,105.7855686,0.8,0.6,-12.1
22847,2000,0.063,21.0479347,105.7855687,0.7,0.6,-12.1
22950,2000,0.063,21.0479347,105.7855687,0.7,0.6,-12.1
23052,2000,0.063,21.0479347,105.7855687,0.8,0.6,-12.1
23154,2000,0.063,21.0479347,105.7855688,0.8,0.6,-12.1
23257,2000,0.063,21.0479347,105.7855688,0.7,0.6,-12.2
23359,2000,0.063,21.0479347,105.7855689,0.8,0.5,-12.1
23461,2000,0.063,21.0479347,105.7855689,1.0,0.4,-11.9
23563,2000,0.063,21.0479348,105.7855689,1.1,-0.0,-11.2
23645,2000,0.063,21.0479348,105.785569,1.5,0.2,-10.0
23747,2000,0.063,21.0479349,105.7855692,1.8,0.6,-8.0
23849,2000,0.063,21.047935,105.7855694,1.9,1.2,-5.7
23951,2000,0.064,21.0479351,105.7855696,1.0,1.7,-3.3
24053,2000,0.064,21.0479351,105.78557,0.1,2.6,-1.3
24155,2000,0.068,21.0479352,105.7855703,-0.6,3.5,0.1
24257,2000,0.072,21.0479352,105.7855706,-1.6,3.5,1.3
24360,2000,0.082,21.0479351,105.785571,-2.7,2.9,2.4
24462,2000,0.145,21.0479351,105.7855712,-3.2,2.0,3.5
24544,2000,0.225,21.0479351,105.7855715,-3.5,1.3,4.6
24646,2000,0.349,21.0479351,105.7855715,-3.7,1.4,5.6
24748,2000,0.502,21.0479351,105.7855716,-3.6,1.1,6.4
24850,2000,0.607,21.0479352,105.7855716,-3.4,1.5,7.0
