t_ms,vx,vy,vz
1416.258,-0.067,0.028,0.169
1416.279,-0.065,0.030,0.169
1416.301,-0.061,0.029,0.170
1416.322,-0.056,0.022,0.171
1416.343,-0.054,0.015,0.171
1416.406,-0.050,0.012,0.172
1416.469,-0.048,0.018,0.173
1416.552,-0.049,0.021,0.173
1416.615,-0.057,0.026,0.172
1416.678,-0.066,0.030,0.170
1416.761,-0.082,0.029,0.168
1416.823,-0.089,0.029,0.167
1416.906,-0.094,0.031,0.165
1416.989,-0.097,0.029,0.163
1417.052,-0.104,0.025,0.161
1417.114,-0.109,0.023,0.160
1417.197,-0.111,0.020,0.159
1417.259,-0.114,0.013,0.157
1417.342,-0.117,0.002,0.156
1417.405,-0.113,-0.007,0.156
1417.488,-0.112,-0.014,0.155
1417.551,-0.111,-0.018,0.153
1417.613,-0.109,-0.023,0.153
1417.696,-0.104,-0.027,0.152
1417.759,-0.099,-0.034,0.150
1417.841,-0.094,-0.037,0.151
1417.904,-0.090,-0.039,0.150
1417.986,-0.081,-0.043,0.149
1418.049,-0.068,-0.049,0.149
1418.111,-0.059,-0.049,0.150
1418.194,-0.055,-0.043,0.150
1418.257,-0.054,-0.042,0.149
1418.340,-0.053,-0.040,0.149
1418.402,-0.054,-0.038,0.149
1418.465,-0.052,-0.043,0.148
1418.548,-0.047,-0.050,0.147
1418.610,-0.046,-0.053,0.146
1418.693,-0.035,-0.060,0.146
1418.755,-0.028,-0.067,0.145
1418.838,-0.023,-0.075,0.144
1418.901,-0.018,-0.076,0.143
1418.984,-0.013,-0.081,0.142
1419.046,-0.012,-0.083,0.141
1419.130,-0.007,-0.086,0.140
1419.192,-0.002,-0.090,0.139
1419.275,0.007,-0.095,0.138
1419.337,0.016,-0.098,0.138
1419.400,0.021,-0.098,0.137
1419.483,0.026,-0.096,0.136
1419.566,0.025,-0.091,0.137
1419.628,0.026,-0.086,0.138
1419.690,0.025,-0.079,0.139
1419.773,0.023,-0.069,0.139
1419.836,0.020,-0.065,0.140
1419.918,0.019,-0.059,0.140
1419.981,0.020,-0.057,0.139
1420.064,0.019,-0.055,0.138
1420.126,0.015,-0.052,0.138
1420.209,0.011,-0.046,0.138
1420.272,0.008,-0.037,0.138
1420.334,0.011,-0.035,0.138
1420.417,0.011,-0.034,0.136
1420.480,0.010,-0.039,0.134
1420.542,0.013,-0.049,0.132
1420.625,0.020,-0.056,0.131
1420.708,0.026,-0.055,0.130
1420.770,0.035,-0.044,0.131
1420.832,0.041,-0.024,0.133
1420.915,0.047,0.002,0.133
1420.978,0.051,0.028,0.131
1421.061,0.052,0.040,0.128
1421.123,0.050,0.061,0.125
1421.206,0.048,0.077,0.121
1421.268,0.047,0.091,0.117
1421.351,0.053,0.104,0.113
1421.414,0.060,0.110,0.111
1421.477,0.074,0.120,0.108
1421.560,0.086,0.132,0.104
1421.622,0.092,0.143,0.100
1421.705,0.103,0.151,0.096
1421.788,0.111,0.153,0.095
1421.871,0.118,0.160,0.091
1421.934,0.114,0.170,0.087
1422.017,0.096,0.182,0.082
1422.079,0.082,0.183,0.081
1422.162,0.061,0.186,0.087
1422.224,0.044,0.178,0.090
1422.307,0.036,0.166,0.087
1422.370,0.018,0.172,0.091
1422.454,0.004,0.162,0.093
1422.516,-0.009,0.148,0.097
1422.598,-0.017,0.128,0.103
1422.661,-0.020,0.116,0.104
1422.744,-0.027,0.096,0.108
1422.806,-0.037,0.077,0.112
1422.869,-0.044,0.060,0.114
1422.952,-0.053,0.044,0.114
1423.014,-0.060,0.029,0.114
1423.097,-0.063,0.023,0.113
1423.160,-0.064,0.014,0.113
1423.243,-0.063,0.002,0.108
1423.305,-0.064,-0.012,0.107
1423.389,-0.071,-0.030,0.109
1423.451,-0.068,-0.038,0.107
1423.513,-0.072,-0.055,0.104
1423.596,-0.072,-0.065,0.101
1423.659,-0.072,-0.072,0.099
1423.742,-0.071,-0.078,0.097
1423.804,-0.069,-0.081,0.096
1423.887,-0.063,-0.094,0.092
1423.949,-0.054,-0.106,0.089
1424.011,-0.052,-0.117,0.085
1424.094,-0.049,-0.124,0.082
1424.157,-0.038,-0.132,0.078
1424.240,-0.038,-0.139,0.075
1424.302,-0.037,-0.143,0.072
1424.385,-0.033,-0.147,0.070
1424.448,-0.029,-0.148,0.068
1424.531,-0.027,-0.152,0.066
1424.593,-0.026,-0.151,0.066
1424.656,-0.027,-0.144,0.068
1424.738,-0.029,-0.132,0.073
1424.801,-0.029,-0.122,0.076
1424.863,-0.024,-0.104,0.083
1424.946,-0.021,-0.088,0.086
1425.008,-0.019,-0.072,0.091
1425.091,-0.013,-0.056,0.095
1425.154,-0.013,-0.050,0.096
1425.236,-0.009,-0.038,0.098
1425.298,-0.006,-0.029,0.099
1425.382,-0.003,-0.021,0.128
1425.445,-0.000,-0.015,0.128
1425.507,-0.005,-0.003,0.128
1425.569,-0.007,0.010,0.126
1425.652,-0.010,0.018,0.124
1425.714,-0.008,0.021,0.124
1425.777,-0.007,0.027,0.122
1425.839,-0.007,0.031,0.122
1425.923,-0.008,0.034,0.120
1425.985,-0.008,0.037,0.118
1426.048,-0.008,0.040,0.115
1426.110,-0.003,0.037,0.117
1426.173,0.001,0.034,0.117
1426.256,0.006,0.032,0.116
1426.318,0.007,0.027,0.117
1426.381,0.006,0.025,0.116
1426.444,0.005,0.024,0.114
1426.506,0.005,0.027,0.114
1426.568,0.005,0.028,0.112
1426.651,0.007,0.030,0.109
1426.713,0.008,0.030,0.109
1426.776,0.008,0.030,0.108
1426.838,0.004,0.029,0.108
1426.922,0.000,0.029,0.106
1426.984,-0.001,0.028,0.104
1427.047,0.001,0.030,0.102
1427.109,0.012,0.030,0.104
1427.171,0.014,0.028,0.101
1427.234,0.014,0.027,0.102
1427.317,0.016,0.020,0.101
1427.379,0.016,0.017,0.100
1427.442,0.017,0.010,0.100
1427.504,0.018,0.004,0.101
1427.567,0.021,0.000,0.100
1427.629,0.024,-0.004,0.100
1427.712,0.021,-0.009,0.098
1427.774,0.018,-0.012,0.095
1427.837,0.009,-0.016,0.093
1427.899,0.002,-0.021,0.090
1427.962,0.002,-0.021,0.089
1428.045,-0.003,-0.023,0.087
1428.107,-0.019,-0.025,0.083
1428.170,-0.024,-0.026,0.080
1428.233,-0.043,-0.028,0.075
1428.295,-0.056,-0.024,0.070
1428.358,-0.060,-0.021,0.068
1428.420,-0.065,-0.010,0.068
1428.503,-0.070,-0.000,0.065
1428.566,-0.067,0.006,0.065
1428.628,-0.074,0.017,0.062
1428.691,-0.076,0.023,0.060
1428.753,-0.080,0.034,0.058
1428.815,-0.085,0.041,0.054
1428.878,-0.086,0.044,0.053
1428.961,-0.169,0.100,0.000
1429.024,-0.162,0.109,0.000
1429.086,-0.158,0.111,0.000
1429.149,-0.164,0.112,0.000
1429.211,-0.178,0.117,0.000
1429.294,-0.180,0.118,0.000
1429.356,-0.191,0.126,0.000
1429.419,-0.194,0.153,0.000
1429.482,-0.189,0.171,0.000
1429.544,-0.161,0.197,0.000
1429.606,-0.149,0.208,0.000
1429.669,-0.123,0.223,0.000
1429.752,-0.108,0.229,0.000
1429.814,-0.102,0.229,0.000
1429.876,-0.087,0.224,0.000
1429.938,-0.057,0.211,0.000
1430.001,-0.045,0.191,0.000
1430.084,-0.017,0.150,0.000
1430.147,0.006,0.106,0.000
1430.209,0.012,0.080,0.000
1430.271,0.027,0.039,0.000
1430.333,0.045,-0.008,0.000
1430.718,0.000,0.000,0.400
1430.819,0.000,0.000,0.400
1430.920,0.000,0.000,0.400
1431.021,0.000,0.000,0.400
1431.122,0.000,0.000,0.400
1431.223,0.000,0.000,0.400
1431.324,0.000,0.000,0.400
1431.425,0.000,0.000,0.400
1431.526,0.000,0.000,0.400
1431.627,0.000,0.000,0.400
1431.729,0.000,0.000,0.400
1431.830,0.000,0.000,0.400
1431.931,0.000,0.000,0.400
1432.032,0.000,0.000,0.400
1432.133,0.000,0.000,0.400
1432.234,0.000,0.000,0.400
1432.335,0.000,0.000,0.400
1432.436,0.000,0.000,0.400
1432.537,0.000,0.000,0.400
1432.638,0.000,0.000,0.400
1432.739,0.000,0.000,0.400
1432.840,0.000,0.000,0.400
