Connecting to /dev/serial/by-id/usb-ArduPilot_Pixhawk6X_49002D001551333034383239-if00 @ 57600...
HEARTBEAT received: 1, 0
t_ms,ch6,alt,roll,pitch,yaw
12631,1000,-0.694,-0.3,0.9,-4.7
12733,1000,-0.695,-0.3,0.9,-4.7
12836,1000,-0.693,-0.3,0.9,-4.7
12937,1000,-0.695,-0.3,0.9,-4.7
13040,1000,-0.694,-0.3,0.9,-4.7
13142,1000,-0.691,-0.3,0.9,-4.7
13244,1000,-0.689,-0.3,0.9,-4.7
13325,1000,-0.687,-0.3,0.9,-4.7
13427,1000,-0.685,-0.3,0.9,-4.7
13529,1000,-0.686,-0.3,0.9,-4.7
13632,1000,-0.689,-0.3,0.9,-4.7
13734,1000,-0.695,-0.3,0.9,-4.7
13835,1000,-0.702,-0.3,0.9,-4.7
13937,1000,-0.706,-0.3,0.9,-4.7
14040,1000,-0.705,-0.3,0.9,-4.7
14142,1000,-0.705,-0.3,0.9,-4.7
14244,1000,-0.708,-0.3,0.9,-4.7
14326,1000,-0.708,-0.3,0.9,-4.7
14428,1000,-0.707,-0.3,0.9,-4.7
14530,1000,-0.708,-0.3,0.9,-4.7
14632,1000,-0.707,-0.3,0.9,-4.7
14734,1000,-0.707,-0.3,0.9,-4.7
14836,1000,-0.709,-0.3,0.9,-4.6
14938,1000,-0.713,-0.3,0.9,-4.6
15040,1000,-0.716,-0.3,0.9,-4.6
15142,1000,-0.717,-0.3,0.9,-4.6
15244,1000,-0.716,-0.3,0.9,-4.6
15326,1000,-0.716,-0.3,0.9,-4.6
15429,1000,-0.719,-0.3,0.9,-4.6
15531,1000,-0.721,-0.3,0.9,-4.6
15633,1000,-0.723,-0.3,0.9,-4.6
15735,1000,-0.727,-0.3,0.9,-4.6
15838,1000,-0.73,-0.3,0.9,-4.6
15940,1000,-0.734,-0.3,0.9,-4.6
16043,1000,-0.736,-0.3,0.9,-4.6
16145,1000,-0.736,-0.3,0.9,-4.6
16227,1000,-0.736,-0.3,0.9,-4.6
16330,1000,-0.737,-0.3,0.9,-4.6
16432,1000,-0.735,-0.3,0.9,-4.6
16534,1000,-0.731,-0.3,0.9,-4.6
16637,1000,-0.728,-0.3,0.9,-4.7
16739,1000,-0.727,-0.3,0.8,-4.7
16841,1000,-0.727,-0.3,0.8,-4.7
16944,1000,-0.726,-0.3,0.8,-4.7
17026,1000,-0.724,-0.3,0.8,-4.7
17129,1000,-0.717,-0.3,0.8,-4.7
17231,1000,-0.711,-0.3,0.8,-4.7
Setting mode GUIDED...
Mode = GUIDED
17339,1000,-0.705,-0.2,0.8,-4.7
17441,1000,-0.698,-0.2,0.8,-4.7
17543,1000,-0.692,-0.3,0.8,-4.7
17644,1000,-0.688,-0.3,0.8,-4.7
17726,1000,-0.686,-0.3,0.8,-4.7
17827,1000,-0.688,-0.3,0.8,-4.7
17929,1000,-0.689,-0.3,0.8,-4.7
18031,1000,-0.692,-0.3,0.8,-4.7
18132,1000,-0.695,-0.3,0.8,-4.7
18234,1000,-0.695,-0.3,0.8,-4.7
18335,1000,-0.692,-0.3,0.8,-4.7
18437,1000,-0.689,-0.3,0.8,-4.7
18538,1000,-0.688,-0.3,0.8,-4.7
18640,1000,-0.687,-0.3,0.8,-4.7
18741,1000,-0.686,-0.3,0.8,-4.7
18843,1000,-0.685,-0.3,0.8,-4.7
18944,1000,-0.687,-0.3,0.8,-4.7
19026,1000,-0.685,-0.3,0.8,-4.7
19127,1000,-0.681,-0.3,0.8,-4.7
19229,1000,-0.677,-0.3,0.8,-4.7
19331,1000,-0.675,-0.3,0.8,-4.7
19432,1000,-0.674,-0.3,0.8,-4.7
19533,1000,-0.674,-0.3,0.8,-4.7
19635,1000,-0.674,-0.3,0.8,-4.7
19737,1000,-0.676,-0.3,0.8,-4.7
19838,1000,-0.679,-0.3,0.8,-4.7
19940,1000,-0.682,-0.3,0.8,-4.7
20042,1000,-0.683,-0.3,0.8,-4.7
20143,1000,-0.684,-0.3,0.8,-4.7
20245,1000,-0.686,-0.3,0.8,-4.7
20326,1000,-0.689,-0.3,0.8,-4.7
20428,1000,-0.69,-0.3,0.8,-4.7
20529,1000,-0.693,-0.3,0.8,-4.7
20631,1000,-0.691,-0.3,0.8,-4.7
20732,1000,-0.689,-0.3,0.8,-4.7
20834,1000,-0.688,-0.3,0.8,-4.7
20935,1000,-0.688,-0.3,0.8,-4.7
21037,1000,-0.69,-0.3,0.8,-4.7
21139,1000,-0.69,-0.3,0.8,-4.7
21240,1000,-0.689,-0.3,0.8,-4.7
21342,1000,-0.691,-0.3,0.8,-4.7
21443,1000,-0.691,-0.3,0.8,-4.7
21545,1000,-0.69,-0.3,0.8,-4.7
21626,1000,-0.69,-0.3,0.8,-4.7
21728,1000,-0.689,-0.3,0.8,-4.6
21830,1000,-0.688,-0.3,0.8,-4.6
21931,1000,-0.688,-0.3,0.8,-4.6
22033,1000,-0.69,-0.3,0.8,-4.6
22134,1000,-0.689,-0.3,0.8,-4.6
22236,1000,-0.685,-0.3,0.8,-4.6
22337,1000,-0.683,-0.3,0.8,-4.6
22439,1000,-0.682,-0.3,0.8,-4.6
22540,1000,-0.679,-0.3,0.8,-4.6
22642,1000,-0.675,-0.3,0.8,-4.6
22743,1000,-0.67,-0.3,0.8,-4.6
22845,1000,-0.665,-0.3,0.8,-4.6
22926,1000,-0.661,-0.3,0.8,-4.6
23028,1000,-0.655,-0.3,0.8,-4.6
23130,1000,-0.65,-0.3,0.8,-4.6
23231,1000,-0.647,-0.3,0.8,-4.6
23333,1000,-0.644,-0.3,0.8,-4.6
23434,1000,-0.643,-0.3,0.8,-4.6
23536,1000,-0.64,-0.3,0.8,-4.6
23637,1000,-0.636,-0.3,0.8,-4.6
23738,1000,-0.632,-0.3,0.8,-4.6
23840,1000,-0.629,-0.3,0.8,-4.6
23941,1000,-0.626,-0.3,0.8,-4.6
24043,1000,-0.625,-0.3,0.8,-4.6
24145,1000,-0.625,-0.3,0.8,-4.6
24226,1000,-0.621,-0.3,0.8,-4.6
24327,1000,-0.618,-0.3,0.8,-4.6
24429,1000,-0.616,-0.3,0.8,-4.6
24530,1000,-0.615,-0.3,0.8,-4.6
24632,1000,-0.613,-0.3,0.8,-4.6
24733,1000,-0.61,-0.3,0.8,-4.6
24835,1000,-0.608,-0.3,0.8,-4.6
24936,1000,-0.607,-0.3,0.8,-4.6
25038,1000,-0.607,-0.3,0.8,-4.6
25140,1000,-0.606,-0.3,0.8,-4.6
25241,1000,-0.606,-0.3,0.8,-4.6
25343,1000,-0.607,-0.3,0.8,-4.6
25444,1000,-0.61,-0.3,0.8,-4.6
25546,1000,-0.612,-0.3,0.8,-4.6
25627,1000,-0.616,-0.3,0.8,-4.6
25729,1000,-0.622,-0.3,0.8,-4.6
25831,1000,-0.628,-0.3,0.8,-4.6
25932,1000,-0.633,-0.3,0.8,-4.6
26034,1000,-0.637,-0.3,0.8,-4.6
26136,1000,-0.644,-0.3,0.8,-4.6
