t_ms,vx,vy,vz
816.735,0.009,-0.123,0.158
816.756,-0.005,-0.133,0.155
816.778,-0.016,-0.136,0.153
816.799,-0.017,-0.138,0.152
816.841,-0.013,-0.146,0.149
816.904,-0.014,-0.152,0.147
816.967,-0.014,-0.156,0.146
817.050,-0.012,-0.158,0.145
817.113,-0.010,-0.161,0.144
817.175,-0.004,-0.167,0.141
817.259,0.003,-0.178,0.137
817.321,0.017,-0.183,0.136
817.404,0.022,-0.182,0.136
817.467,0.028,-0.175,0.138
817.530,0.029,-0.167,0.140
817.612,0.033,-0.158,0.143
817.674,0.034,-0.154,0.143
817.737,0.037,-0.148,0.144
817.820,0.039,-0.141,0.146
817.882,0.041,-0.129,0.149
817.945,0.036,-0.121,0.150
818.007,0.032,-0.108,0.153
818.069,0.019,-0.097,0.154
818.153,0.017,-0.088,0.154
818.215,0.008,-0.079,0.156
818.277,-0.007,-0.070,0.156
818.340,-0.021,-0.065,0.154
818.423,-0.026,-0.062,0.154
818.485,-0.029,-0.056,0.154
818.568,-0.025,-0.049,0.155
818.630,-0.024,-0.041,0.155
818.713,-0.026,-0.031,0.155
818.775,-0.025,-0.023,0.142
818.839,-0.026,-0.022,0.140
818.900,-0.034,-0.018,0.139
818.983,-0.040,-0.016,0.138
819.046,-0.051,-0.015,0.150
819.108,-0.046,-0.008,0.151
819.191,-0.032,-0.004,0.138
819.254,-0.022,0.004,0.137
819.316,-0.013,0.005,0.138
819.399,-0.009,0.006,0.137
819.462,0.001,0.012,0.137
819.545,0.006,0.015,0.134
819.607,0.009,0.019,0.134
819.669,0.010,0.021,0.134
819.752,0.013,0.026,0.132
819.815,0.011,0.030,0.131
819.898,0.014,0.033,0.130
819.960,0.016,0.036,0.129
820.022,0.019,0.040,0.128
820.105,0.024,0.040,0.127
820.167,0.029,0.039,0.127
820.250,0.035,0.033,0.127
820.313,0.039,0.032,0.127
820.376,0.050,0.033,0.126
820.459,0.061,0.037,0.124
820.521,0.068,0.040,0.124
