t_ms,vx,vy,vz
1687.467,0.000,0.000,0.000
1687.489,0.000,0.000,0.000
1687.510,0.000,0.000,0.000
1687.531,0.000,0.000,0.000
1687.552,0.000,0.000,0.000
1687.573,0.000,0.000,0.000
1687.595,0.000,0.000,0.000
1687.616,0.000,0.000,0.000
1687.638,0.000,0.000,0.000
1687.659,0.000,0.000,0.000
1687.680,0.000,0.000,0.000
1687.702,0.000,0.000,0.000
1687.723,0.000,0.000,0.000
1687.745,0.000,0.000,0.000
1687.766,0.000,0.000,0.000
1687.787,0.000,0.000,0.000
1687.809,0.000,0.000,0.000
1687.830,0.000,0.000,0.000
1687.851,0.000,0.000,0.000
1687.872,0.000,0.000,0.000
1687.894,0.000,0.000,0.000
1687.915,0.000,0.000,0.000
1687.936,0.000,0.000,0.000
1687.958,0.000,0.000,0.000
1687.979,0.000,0.000,0.000
1688.001,-0.787,-0.179,0.000
1688.042,0.000,0.000,0.000
1688.063,0.000,0.000,0.000
1688.084,0.000,0.000,0.000
1688.106,-0.672,-0.042,0.020
1688.127,-0.637,-0.000,0.029
1688.149,-0.621,0.020,0.033
1688.170,-0.578,0.060,0.042
1688.192,-0.558,0.077,0.047
1688.213,-0.511,0.114,0.055
1688.235,-0.490,0.133,0.057
1688.256,0.000,0.000,0.000
1688.277,0.000,0.000,0.000
1688.298,0.000,0.000,0.000
1688.320,0.000,0.000,0.000
1688.341,0.000,0.000,0.000
1688.362,0.000,0.000,0.000
1688.383,0.000,0.000,0.000
1688.405,0.000,0.000,0.000
1688.426,-0.241,0.355,0.042
1688.447,0.000,0.000,0.000
1688.469,-0.220,0.371,0.038
1688.490,-0.211,0.383,0.034
1688.511,-0.188,0.389,0.034
1688.533,-0.178,0.388,0.035
1688.554,-0.156,0.381,0.040
1688.575,-0.142,0.377,0.043
1688.597,-0.124,0.355,0.053
1688.619,0.000,0.000,0.000
1688.640,-0.105,0.337,0.064
1688.661,0.000,0.000,0.000
1688.683,0.000,0.000,0.000
1688.704,0.000,0.000,0.000
1688.725,0.000,0.000,0.000
1688.747,0.000,0.000,0.000
1688.768,0.000,0.000,0.000
1688.789,0.000,0.000,0.000
1688.811,0.000,0.000,0.000
1688.832,0.000,0.000,0.000
1688.853,0.000,0.000,0.000
1688.874,0.000,0.000,0.000
1688.895,0.000,0.000,0.000
1688.917,0.000,0.000,0.000
1688.938,0.000,0.000,0.000
1688.959,0.000,0.000,0.000
1688.981,0.059,0.085,0.162
1689.002,0.000,0.000,0.000
1689.023,0.045,0.115,0.154
1689.045,0.073,0.122,0.151
1689.066,0.000,0.000,0.000
1689.088,0.000,0.000,0.000
1689.110,0.000,0.000,0.000
1689.131,0.202,0.145,0.138
1689.152,0.209,0.146,0.137
1689.173,0.000,0.000,0.000
1689.194,0.217,0.115,0.144
1689.236,0.213,0.079,0.152
1689.279,0.000,0.000,0.000
1689.341,0.201,0.041,0.157
1689.404,0.000,0.000,0.000
1689.467,0.000,0.000,0.000
1689.530,0.147,0.010,0.162
1689.593,0.000,0.000,0.000
1689.656,0.000,0.000,0.000
1689.718,0.000,0.000,0.000
1689.761,0.000,0.000,0.000
1689.823,0.055,-0.025,0.161
1689.886,0.000,0.000,0.000
1689.949,0.000,0.000,0.000
1690.012,0.000,0.000,0.000
1690.075,-0.044,-0.049,0.152
1690.117,0.000,0.000,0.000
1690.201,-0.077,-0.058,0.148
1690.263,-0.091,-0.057,0.146
1690.305,0.000,0.000,0.000
1690.368,0.000,0.000,0.000
1690.431,0.000,0.000,0.000
1690.494,0.000,0.000,0.000
1690.557,0.000,0.000,0.000
1690.620,0.000,0.000,0.000
1690.662,0.000,0.000,0.000
1690.724,0.000,0.000,0.000
1690.788,0.000,0.000,0.000
1690.850,0.000,0.000,0.000
1690.892,0.000,0.000,0.000
1690.955,0.000,0.000,0.000
1691.018,0.000,0.000,0.000
1691.081,0.000,0.000,0.000
1691.144,0.000,0.000,0.000
1691.206,0.000,0.000,0.000
1691.249,0.000,0.000,0.000
1691.333,0.065,0.130,0.139
1691.396,0.070,0.133,0.140
1691.438,0.000,0.000,0.000
1691.500,0.000,0.000,0.000
1691.563,0.000,0.000,0.000
1691.626,0.000,0.000,0.000
1691.668,0.000,0.000,0.000
1691.731,0.000,0.000,0.000
1691.794,0.000,0.000,0.000
1691.857,0.000,0.000,0.000
1691.920,0.000,0.000,0.000
1691.962,0.000,0.000,0.000
1692.024,0.000,0.000,0.000
1692.087,0.167,0.212,0.120
1692.150,0.175,0.224,0.115
1692.212,0.000,0.000,0.000
1692.275,0.193,0.243,0.104
1692.338,0.000,0.000,0.000
1692.401,0.178,0.260,0.096
1692.465,0.164,0.285,0.083
1692.527,0.165,0.301,0.074
1692.590,0.167,0.314,0.066
1692.653,0.169,0.321,0.061
1692.716,0.156,0.326,0.058
1692.779,0.000,0.000,0.000
1692.841,0.130,0.321,0.059
1692.904,0.120,0.318,0.058
1692.968,0.101,0.308,0.061
1693.030,0.083,0.296,0.066
1693.093,0.074,0.291,0.068
1693.156,0.061,0.282,0.072
1693.219,0.053,0.281,0.072
1693.302,0.047,0.291,0.067
1693.365,0.046,0.301,0.063
1693.428,0.046,0.315,0.056
1693.491,0.054,0.324,0.052
1693.553,0.055,0.329,0.050
1693.616,0.060,0.341,0.045
1693.679,0.073,0.347,0.042
1693.742,0.074,0.349,0.041
