t_ms,vx,vy,vz
416.464,0.064,-0.175,0.140
416.486,0.060,-0.172,0.141
416.507,0.055,-0.167,0.143
416.528,0.050,-0.163,0.144
416.550,0.047,-0.162,0.145
416.612,0.040,-0.159,0.145
416.675,0.033,-0.157,0.146
416.758,0.026,-0.153,0.146
416.821,0.020,-0.149,0.147
416.883,0.018,-0.151,0.147
416.966,0.012,-0.164,0.141
417.029,0.004,-0.176,0.137
417.112,-0.002,-0.177,0.135
417.175,-0.000,-0.175,0.135
417.237,-0.003,-0.171,0.136
417.320,0.001,-0.163,0.138
417.382,0.004,-0.157,0.139
417.465,0.006,-0.151,0.140
417.527,0.004,-0.150,0.140
417.590,0.005,-0.148,0.140
417.673,0.004,-0.142,0.141
417.735,0.006,-0.138,0.142
417.818,0.009,-0.134,0.143
417.881,0.009,-0.127,0.144
417.943,0.012,-0.123,0.145
418.026,0.012,-0.119,0.145
418.088,0.012,-0.117,0.144
418.151,0.014,-0.114,0.144
418.234,0.012,-0.109,0.145
418.296,0.016,-0.101,0.146
418.379,0.015,-0.096,0.146
418.441,0.015,-0.088,0.148
418.503,0.014,-0.081,0.148
418.587,0.016,-0.077,0.148
418.649,0.018,-0.075,0.147
418.732,0.022,-0.071,0.148
418.794,0.025,-0.065,0.148
418.857,0.028,-0.059,0.148
418.939,0.026,-0.056,0.148
419.001,0.027,-0.053,0.148
419.084,0.024,-0.050,0.147
419.147,0.020,-0.046,0.147
419.230,0.016,-0.042,0.146
419.292,0.015,-0.041,0.146
419.355,0.015,-0.037,0.145
419.437,0.013,-0.032,0.145
419.499,0.015,-0.027,0.145
419.562,0.014,-0.025,0.144
419.645,0.011,-0.022,0.144
419.707,0.009,-0.018,0.143
419.790,0.006,-0.017,0.142
419.853,0.003,-0.017,0.141
419.935,0.003,-0.017,0.141
419.997,0.002,-0.016,0.140
420.060,0.001,-0.017,0.139
420.143,0.001,-0.018,0.138
420.205,0.002,-0.019,0.138
420.288,0.003,-0.020,0.137
420.351,0.002,-0.021,0.137
420.413,0.001,-0.022,0.137
420.496,-0.000,-0.021,0.136
420.558,0.000,-0.020,0.136
