t_ms,vx,vy,vz
246.719,0.432,-0.031,0.116
246.742,0.413,-0.035,0.120
246.763,0.401,-0.042,0.126
246.785,0.395,-0.042,0.127
246.806,0.381,-0.041,0.131
246.827,0.369,-0.041,0.136
246.850,0.356,-0.037,0.139
246.871,0.341,-0.032,0.143
246.892,0.317,-0.027,0.149
246.914,0.309,-0.024,0.151
246.935,0.286,-0.012,0.156
246.957,0.264,0.007,0.161
246.978,0.253,0.019,0.162
247.000,0.227,0.049,0.163
247.021,0.197,0.082,0.163
247.043,0.180,0.097,0.161
247.064,0.152,0.135,0.153
247.086,0.134,0.156,0.148
247.107,0.103,0.201,0.131
247.128,0.078,0.252,0.110
247.150,0.049,0.303,0.085
247.171,0.038,0.328,0.072
247.193,0.012,0.382,0.046
247.214,0.003,0.411,0.033
247.235,-0.008,0.473,0.011
247.256,0.000,0.000,0.000
247.278,0.000,0.000,0.000
247.299,0.000,0.000,0.000
247.320,0.000,0.000,0.000
247.342,0.000,0.000,0.000
247.363,0.000,0.000,0.000
247.384,0.000,0.000,0.000
247.406,0.000,0.000,0.000
247.427,0.000,0.000,0.000
247.449,0.000,0.000,0.000
247.470,0.000,0.000,0.000
247.491,0.000,0.000,0.000
247.513,0.000,0.000,0.000
247.534,0.000,0.000,0.000
247.555,0.000,0.000,0.000
247.577,0.000,0.000,0.000
247.598,0.000,0.000,0.000
247.619,0.000,0.000,0.000
247.641,0.000,0.000,0.000
247.662,0.000,0.000,0.000
247.683,0.000,0.000,0.000
247.705,0.000,0.000,0.000
247.726,0.000,0.000,0.000
247.747,0.000,0.000,0.000
247.769,0.000,0.000,0.000
247.790,0.000,0.000,0.000
247.811,0.000,0.000,0.000
247.832,0.000,0.000,0.000
247.854,0.000,0.000,0.000
247.875,0.000,0.000,0.000
247.896,0.000,0.000,0.000
247.918,0.000,0.000,0.000
247.939,0.000,0.000,0.000
247.960,0.000,0.000,0.000
247.981,0.000,0.000,0.000
248.002,0.000,0.000,0.000
248.024,0.000,0.000,0.000
248.045,0.000,0.000,0.000
248.067,0.000,0.000,0.000
248.088,0.000,0.000,0.000
248.109,0.000,0.000,0.000
248.131,0.000,0.000,0.000
248.152,0.000,0.000,0.000
248.173,0.000,0.000,0.000
248.194,0.000,0.000,0.000
248.216,0.000,0.000,0.000
248.237,0.000,0.000,0.000
248.258,0.000,0.000,0.000
248.280,0.000,0.000,0.000
248.301,0.000,0.000,0.000
248.322,0.000,0.000,0.000
248.344,0.000,0.000,0.000
248.365,0.000,0.000,0.000
248.386,0.000,0.000,0.000
