Connecting to /dev/serial/by-id/usb-ArduPilot_Pixhawk6X_49002D001551333034383239-if00 @ 57600...
HEARTBEAT received: 1, 0
t_ms,ch6,alt,lat,lon,roll,pitch,yaw
239,1000,-0.091,21.0484448,105.7863757,0.2,0.3,63.3
342,1000,-0.094,21.0484448,105.7863757,0.2,0.3,63.3
444,1000,-0.096,21.0484448,105.7863756,0.2,0.3,63.3
547,1000,-0.102,21.0484449,105.7863757,0.2,0.3,63.3
629,1000,-0.106,21.0484449,105.7863757,0.2,0.3,63.3
732,1000,-0.112,21.0484449,105.7863757,0.2,0.3,63.3
834,1000,-0.117,21.0484449,105.7863757,0.2,0.3,63.3
938,1000,-0.118,21.0484449,105.7863757,0.2,0.3,63.3
1040,1000,-0.118,21.048445,105.7863757,0.2,0.3,63.3
1143,1000,-0.118,21.048445,105.7863757,0.2,0.3,63.3
1245,1000,-0.118,21.048445,105.7863758,0.2,0.3,63.3
1328,1000,-0.121,21.0484451,105.7863758,0.2,0.3,63.3
1431,1000,-0.123,21.0484451,105.7863758,0.2,0.3,63.3
1539,1000,-0.124,21.0484451,105.7863758,0.2,0.3,63.3
1641,1000,-0.124,21.0484451,105.7863758,0.2,0.3,63.3
1744,1000,-0.121,21.0484452,105.7863758,0.2,0.3,63.3
1846,1000,-0.118,21.0484452,105.7863757,0.2,0.3,63.3
1928,1000,-0.116,21.0484452,105.7863757,0.2,0.3,63.3
2030,1000,-0.118,21.0484452,105.7863757,0.2,0.3,63.3
2132,1000,-0.123,21.0484452,105.7863757,0.2,0.3,63.3
2235,1000,-0.13,21.0484452,105.7863757,0.2,0.3,63.3
2337,1000,-0.137,21.0484453,105.7863757,0.2,0.3,63.3
2447,1000,-0.139,21.0484453,105.7863756,0.2,0.3,63.3
2529,1000,-0.138,21.0484453,105.7863756,0.2,0.3,63.3
2632,1000,-0.138,21.0484453,105.7863756,0.2,0.3,63.3
2734,1000,-0.134,21.0484453,105.7863756,0.2,0.3,63.3
2836,1000,-0.13,21.0484453,105.7863755,0.2,0.3,63.3
